Section,Question,Correct Answer
Java,"In Java, volatile publication","A volatile write HB a later volatile read of that variable, and carries all writes in that thread that HB the volatile write (release/acquire)."
Java,"In Java, what Optional is for","A return type that forces the caller to confront absence. Not a field, not a parameter, not a persistence type, not a Map value wrapper."
Java,"In Java, what promotion is",Copying a still-reachable object from young generation into old generation after it survives collections (or because it would not fit in young).
Java,"In Java, when ThreadPoolExecutor starts threads above core","Only when workQueue.offer fails (queue full). Unbounded queues never fail offer, so extra threads never start."
Java,"In Java, when you must override hashCode",Whenever you override equals. Skip both only if identity equality is the intended semantics.
Java,"In Java, why caches tenure junk","TTL slightly longer than the young-gen lifetime keeps entries alive through a young GC. They promote, then become old garbage when the TTL expires."
Java,"In Java, why is blocking on the common ForkJoinPool dangerous?",parallelStream and many CompletableFuture callbacks share it. Blocking I/O there starves unrelated code in the same JVM. Use an application-owned bounded pool for blocking work.
Java,"In Java, why isn't get-then-put on ConcurrentHashMap atomic?","Each call is thread-safe, the compound is not. Two threads read 5 and both write 6. Use compute/merge or a concurrent accumulator."
Java,"In Java, why mutating a key after HashMap.put loses the entry","The entry stays in the bucket of the old hash. Lookup computes a new hash and searches a different bucket, so get/contains miss."
Java,"In Java, why reject is kinder than queue",Rejection is visible backpressure. The load balancer can shift traffic. Silent queueing pins overload to one JVM until it crashes.
Kubernetes,"In Kubernetes, PDB vs replica count",minAvailable == replicas blocks drains and some voluntary evictions entirely. You want a budget (e.g. 1 down) so upgrades and autoscaler can move pods.
Kubernetes,"In Kubernetes, PVC binding and topology",WaitForFirstConsumer binds after a node is chosen so zonal PVs match. Immediate binding can strand a PVC in the wrong AZ; RWO volumes cannot attach to two nodes.
Kubernetes,"In Kubernetes, classic liveness misuse patterns",1) Probe a downstream DB/queue. 2) Tight liveness during slow boot (no startupProbe). 3) TCP probe on a deadlocked but listening process. Result: restart storms or silent unhealth.
Kubernetes,"In Kubernetes, etcd as the real bottleneck","Every object and watch lands there. Large Secrets/CRDs, thousands of objects per ns, noisy status updates, slow disks. Symptoms: API latency, leader elections, controller lag — not 'the node is slow.'"
Kubernetes,"In Kubernetes, mutable tags vs digests",myapp:v3 or sha256:… is a pin. :latest plus IfNotPresent freezes yesterday's bits; Always plus :latest makes each node a lottery. Controllers and rollbacks need immutability.
Kubernetes,"In Kubernetes, qoS from requests/limits","Guaranteed: every container request==limit. Burstable: some request. BestEffort: none. Under node memory pressure, BestEffort is evicted first. Limits without requests do not make you Guaranteed."
Kubernetes,"In Kubernetes, rolling update + readiness + graceful shutdown as one system","New pod must become Ready before old is dropped (surge/unavailable). Old pod should fail readiness, drain, then exit inside grace. Endpoint propagation lag needs a preStop delay or similar."
Kubernetes,"In Kubernetes, when VPA fights HPA","Both react to CPU/memory saturation. VPA resizing changes utilization, which changes HPA replica math. Prefer one autoscaler on that signal, or split: HPA on traffic, VPA recs for rightsizing."
Kubernetes,"In Kubernetes, when does a CPU limit hurt p99?","If the process bursts above its CFS quota, it is throttled even on an idle node. Request is for scheduling; limit is a cap. Latency-sensitive services often set request carefully and avoid tight CPU limits, while still capping memory."
Kubernetes,"In Kubernetes, why do rollouts get stuck with PDBs?","The new pod never becomes Ready, so the controller will not (or cannot, given maxUnavailable=0 and a PDB) take the old pod down. You have two constraints and zero healthy surge. Fix the probe/image, don't just raise replicas."
MySQL,"In MySQL, how do next-key locks on a secondary index deadlock with inserts?","A range locking read holds record plus gap locks on the secondary, then clustered rows. An insert takes an insert-intention lock in the same gap and needs the clustered slot. Lock order differs, so two sessions can cycle."
MySQL,"In MySQL, what does a growing undo history list length mean for reads?","Purge cannot remove old row versions while some snapshot still needs them. Readers walk longer version chains, tablespaces grow, and eventually you hit rollback-segment pressure. Kill old snapshots; do not just add disk."
MySQL,"In MySQL, what does a metadata lock wait during DDL mean?","Even 'online' ALTER needs a short exclusive metadata lock. A long-running transaction that touched the table blocks that lock. The ALTER sits, and new queries pile up behind it. Kill/finish the long transaction; don't just retry DDL harder."
MySQL,"In MySQL, what replica risk comes with INSTANT DDL?",The binlog records a DDL that only newer engines can apply as metadata. Older replicas fail to apply or rebuild differently. Rolling upgrades must keep replica versions capable of the same INSTANT row format.
MySQL,"In MySQL, why can parallel replica workers still run as if single-threaded?","Apply must respect conflicts: overlapping rows, missing writesets, or commit-order constraints serialize those transactions. Hot tables or one giant transaction become the bottleneck no matter how many workers you start."
MySQL,"In MySQL, why do huge DELETEs create both source stalls and replica lag?","One transaction holds undo until commit, writes a massive RBR stream at once, and leaves purge to catch up. Batches bound undo, binlog bursts, and apply time so replicas and purge stay even."
MySQL,What durability do you lose with innodb_flush_log_at_trx_commit = 2?,Redo is flushed about once per second rather than at every COMMIT. A crash of the OS or host can drop recent committed transactions. You keep protection against mysqld process death if the OS still flushed the file.
MySQL,"When does InnoDB change buffering help, and when is it useless?","It defers secondary-index updates when those pages are not in the buffer pool, absorbing random writes. Unique checks that must see the index immediately, and a fully cached working set, get little benefit and can hide a later merge storm."
MySQL,Why are random UUID primary keys painful in InnoDB?,"The clustered index is the table. Random inserts split pages all over the file, kill sequential write patterns, and bloat the tree. A sequential (or time-ordered) PK keeps inserts at the tail. Secondary indexes also get larger because they store that PK."
MySQL,Why must replicated InnoDB tables have an explicit primary key for RBR performance?,"Row events locate the target row by PK (or a unique key). Without one, apply may scan the table per event. A hidden clustered key on the source does not give the replica a stable, efficient lookup."
PostgreSQL,"In PostgreSQL, how can a forgotten replication slot take down a primary?","The slot pins WAL (and for logical slots, catalog xmin) until the consumer acks. If the consumer dies, WAL accumulates until the disk fills and the primary cannot write. Monitor slot lag and drop unused slots."
PostgreSQL,"In PostgreSQL, how does bloat persist after n_dead_tup looks healthy?","VACUUM marks free space on pages for reuse but does not return pages to the OS. Fragmented fill and bloated indexes keep relation size high until CLUSTER, VACUUM FULL, or pg_repack rewrites the file."
PostgreSQL,"In PostgreSQL, what conflict happens when a hot standby query meets VACUUM replay?",Replay may need to remove tuple versions the standby query still sees. With short max_standby_streaming_delay the query is canceled; with hot_standby_feedback the primary delays cleanup and can bloat instead.
PostgreSQL,"In PostgreSQL, what does a Nested Loop with a bad row estimate do to runtime?","The inner plan runs once per outer row. If actual rows are orders of magnitude above estimate, you get nested explosions of index lookups or worse. Recheck statistics, correlated columns, and whether a hash or merge join would bound the work."
PostgreSQL,"In PostgreSQL, what does a stale replication slot do to a primary?","The primary must retain WAL from the slot's restart LSN. If the subscriber dies, WAL piles up until disk is gone. Dropping the slot frees disk but you cannot catch that subscriber up without a new base copy."
PostgreSQL,"In PostgreSQL, what is the durability vs latency ladder of synchronous_commit values with streaming replicas?",off/local control only local flush. on waits for a synchronous standby to flush WAL. remote_apply waits until replay has occurred. Each step reduces data-loss window and increases COMMIT stalls when the standby is slow.
PostgreSQL,"In PostgreSQL, when does HOT fail to save you from index bloat?","Heap-Only Tuples work when the new row version fits on the same page and indexed columns do not change. If the update is wide, indexed columns change, or the page is full, you get new index entries and autovacuum has more to chew. Fillfactor and less-wide updates are the usual levers."
PostgreSQL,"In PostgreSQL, why can index-only scans still hit the heap even with a covering INCLUDE index?","Visibility is stored in the heap, not the index. The visibility map lets PostgreSQL skip heap fetches only for all-visible pages. Without aggressive vacuum/freeze, an index-only plan still random-reads the table."
PostgreSQL,"In PostgreSQL, why do GIN indexes on jsonb or arrays punish write-heavy tables?","One row produces many key postings. Pending lists, page merges, and vacuum of those postings generate more WAL and CPU than a single btree key. They shine for containment reads, not for high-rate updates of the documents."
PostgreSQL,"In PostgreSQL, why is CREATE INDEX CONCURRENTLY safer for uptime, and what can still go wrong?","It avoids a long ACCESS EXCLUSIVE lock by scanning twice and waiting out old snapshots. It can still fail if invalid indexes remain, if waiting transactions never end, or if it consumes enough I/O to impact production."
Python,"In Python, are dicts thread-safe for counters?","No. Individual opcodes may be atomic; `d[k] += 1` is not. Use a lock, a queue to one owner, or multiprocessing with explicit sharing."
Python,"In Python, what does a blocking call do to asyncio?","It owns the thread that runs the loop. Every other task waits. Use async libraries or offload with to_thread/executors, and never call time.sleep in a coroutine."
Python,"In Python, what does cancellation actually cancel?",Python raises CancelledError at an await point that cooperates. A stuck C extension or a thread pool future may ignore it. Timeouts have to be designed at I/O boundaries you control.
Python,"In Python, why is unpickling Redis cache a footgun?","pickle can reconstruct arbitrary objects and run code. If an attacker can write the cache key, they own the process. Use JSON/msgpack for untrusted or cross-trust data."
Redis,"In Redis, AOF fsync always vs every second?","Always: less loss, more disk latency. Every second: you may lose about a second of acknowledged writes on crash. Durability is a chosen budget."
Redis,"In Redis, hot key in Cluster: why don't extra nodes help?","One key maps to one slot on one primary. Idle nodes cannot serve that key. Split the key, cache locally, or change the model."
Redis,"In Redis, list as a queue: what do you lose on LPOP + crash?","The job is gone from Redis. Use streams/consumer groups or BRPOPLPUSH-style patterns, and still keep durable truth elsewhere."
Redis,"In Redis, noeviction vs allkeys-lru for a cache?","Cache: usually an LRU/LFU policy so the process keeps serving. noeviction makes writes fail when memory is full — better for data you must not drop, but then Redis is a poor fit as the only store."
Redis,"In Redis, what are hash tags for?",{shared} prefixes force keys into the same cluster slot so MULTI/MGET/Lua can run. Over-tagging recreates a hot node.
Redis,"In Redis, why Lua scripts for compare-and-set?",The script runs atomically on that instance's thread — no other command interleaves. It is not a cluster-wide transaction across slots.
Redis,"In Redis, why can RDB fork stall a huge instance?",Fork + copy-on-write under writes spikes memory and can pause the process. Persistence is part of the capacity plan.
Redis,"In Redis, why is Pub/Sub a bad audit log?","Fire-and-forget in-memory fanout. If you were disconnected, you missed it. No durable source of truth."
Redis,What does Redis Cluster require of multi-key commands?,All keys in one command must live in the same hash slot. Hash tags `{user:42}` force that. Cross-slot MGET/MSET fail; the client must split the work or redesign the keyspace.
Redis,Why is Redis a risky system of record for money?,"Durability is configurable and easy to weaken; there is no MVCC undo; a single FLUSHDB or bug is catastrophic; replication is usually async. Use it as a cache, lock, or fast ephemeral store, and put money in a database with a proper commit story."
Spring Boot,"In Spring Boot, @Async self-invocation",Proxy-based; this.asyncMethod() runs synchronously on the caller thread. Put async methods on another bean.
Spring Boot,"In Spring Boot, @Async vs transactions",The async body does not run in the caller's transaction. Submit after commit if the worker must see persisted rows.
Spring Boot,"In Spring Boot, @ConfigurationProperties vs @Value","Same Environment, but typed groups, conversion, and metadata. Prefer it for operational config; @Value is a one-off expression."
