Section,Question,Correct Answer
Cassandra,"In Cassandra, LWW vs LWT for concurrent updates: what is lost without LWT?","Last-write-wins picks a timestamp after the fact, so two RMWs can both read the same base and one update disappears. LWT agrees on the CAS before commit."
Cassandra,"In Cassandra, besides round trips, where does LWT cost show up in storage?","Paxos promise/commit state is persisted per partition, adding extra writes, contention on that key, and more compaction—not just extra network hops."
Cassandra,"In Cassandra, do hints count toward QUORUM?","No. QUORUM needs live replica acknowledgements. If two of three replicas are down at RF=3, QUORUM writes fail; hints cannot vote in their place."
Cassandra,"In Cassandra, how does partition bucketing trade one problem for another?",user_id+bucket spreads writes across tokens (fixes hot/wide partitions) but reads of the full entity become scatter-gather with app-side merge/limit.
Cassandra,"In Cassandra, what does LOCAL_QUORUM actually promise?","A quorum in the local DC, not a global latest. Other DCs can be behind until repair or replication catches up. Users who fail over DC without a consistency story will see time go backwards."
Cassandra,"In Cassandra, what is the first staff flag on 'one partition per tenant'?","Tenant skew becomes hot/wide partitions. A noisy tenant dominates compaction, repair, and replica CPU with no token isolation from others."
Cassandra,"In Cassandra, what resurrection scenario must staff operators keep in mind?","A replica stays down past gc grace, tombstones drop, then repair/bootstrap copies the stale live rows back. Deletes vanish because the markers are gone."
Cassandra,"In Cassandra, why can EACH_QUORUM be worth its latency?","It requires a quorum in every DC, so a DC that was partitioned cannot accept a write that the other DCs will never see, which LOCAL_QUORUM can allow."
Cassandra,"In Cassandra, why is W+R>RF not the same as linearizability?","It only argues replica-set overlap for a single write/read pair. Concurrent RMWs, LWW timestamps, per-DC CLs, and partial failures can still lose updates. Use LWT/SERIAL when you need CAS."
Cassandra,Why is global uniqueness a Cassandra anti-pattern at scale?,"Enforcing 'only one of this email' needs consensus on that key. LWT does it with Paxos per partition, which is slow and hot. A database with a unique index, or an allocation service, is usually the honest design."
Data Structures & Algorithms,"In data structures and algorithms, LRU policy vs LRU structure",The map+list is O(1) recency. The policy still fails on scans and one-hit wonders. ARC/2Q/W-TinyLFU change who gets evicted without changing 'we need a dictionary.'
Data Structures & Algorithms,"In data structures and algorithms, bloom overfill and the security misuse","Over-inserting → bits fill → almost every query is 'yes.' For denylist/allow decisions, 'maybe' is not an answer unless an exact check follows. Deletes need a different filter."
Data Structures & Algorithms,"In data structures and algorithms, compose structures for the real API",Scheduler: heap + hash (cancel). LRU: hash + list. Kruskal: sort/heap of edges + union-find. Cache cluster: consistent hash + local LRU + Bloom negative cache. One textbook type is rarely the product.
Data Structures & Algorithms,"In data structures and algorithms, directed vs undirected connectivity","Union-find = undirected components. Shortest hops = BFS (unweighted) or PQ (weighted). Directed cycles = reachability/topo, not disjoint sets. Pick the invariant, then the structure."
Data Structures & Algorithms,"In data structures and algorithms, hash shards keys, not QPS","One hot key hashes to one owner. Consistent hashing, trees, and heaps do not split that key. Replicate it, split by a finer workload key, or keep it in a special cache."
Data Structures & Algorithms,"In data structures and algorithms, locality is the real 'complexity' of lists","Node-per-element structures lose to arrays, rings, CSR graphs, and slab buffers because of cache, TLB, allocator, and prefetch. Use links when identity and splice truly dominate scans."
Data Structures & Algorithms,"In data structures and algorithms, ring vs Rendezvous vs % N","% N reshuffles everything. Ring + vnodes: local moves, watch load lumps. Rendezvous/HRW: per-key max score, natural weights, no vnode explosion. None of them move payload bytes for you."
Data Structures & Algorithms,"In data structures and algorithms, stability as an extra sort key",Heap merge and many in-place sorts are not stable. Encode original index / run id in the comparator. Multi-key sorts are either one composite compare or stable passes from last key to first.
Data Structures & Algorithms,"In data structures and algorithms, token bucket vs sliding log for rate limits?","Token bucket: constant memory, cheap, slightly bursty. Sliding window log: closer to 'N per real second', stores many timestamps, shards poorly. Most global limiters pick an approximate bucket and enforce it at the edge."
Data Structures & Algorithms,"In data structures and algorithms, when is a trie the wrong autocomplete?","When you need ranking, typos, freshness, and a dictionary that updates without rebuilding a giant heap object. An inverted index with prefix/edge n-grams is operationally boring and wins."
DynamoDB,Cache in front of a hot DynamoDB key: remaining risks?,"Misses, TTL expiry, and stampedes refocus load on the same key. Writes still hit DynamoDB. Cache is a read valve, not a new partition key."
DynamoDB,"In DynamoDB, analytics via live Scan vs export?",Export/offline pipeline isolates heavy reads from online partitions. A 'nightly Scan' still competes for the same capacity and can starve production.
DynamoDB,"In DynamoDB, global tables vs strongly consistent reads?",Strong read is a regional guarantee on the base item. Global tables replicate asynchronously across regions — not one worldwide strongly consistent copy.
DynamoDB,"In DynamoDB, single-table design in one sentence?",Precompute access paths into item collections you can Query; not 'one table to save money' and not an excuse to Scan entity types together.
DynamoDB,"In DynamoDB, time-series PK = today's date: why is it a hotspot?",All of today's ingest hits one key. Shard by device/customer/time-bucket+shard so writes spread; do not concentrate 'now' on a single PK.
DynamoDB,"In DynamoDB, what still limits on-demand during a hot-key event?","On-demand removes most capacity planning, not physics. One partition key has a throughput ceiling. Famous items need caching, write sharding, or isolation."
DynamoDB,"In DynamoDB, why can't adaptive capacity save a celebrity key?","It can shift spare throughput toward a busy partition, but one partition key is still one bottleneck. Popular item => shard, cache, or change the pattern."
DynamoDB,"In DynamoDB, why not embed an unbounded child list on the parent item?","The parent races toward 400KB, every child write rewrites the fat item, and you cannot Query a slice. Model children as SK range under the parent PK."
DynamoDB,What does a DynamoDB transaction buy you — and not buy you?,"Atomic all-or-nothing across a small set of items in a region. Not global linearizability, not unbounded size, not a substitute for good keys."
DynamoDB,Why don't request-path joins belong in DynamoDB?,"There are no server-side joins. You issue multiple queries, assemble a non-snapshot, and often add GSIs that create new hot keys. Duplicate data per access pattern or use a join-capable store."
Gen AI,"In generative AI, chunking against the grain","Embedding-similarity splits can glue boilerplate and break specs. Prefer document structure; put keys, titles, and units inside the chunk."
Gen AI,"In generative AI, cited ≠ supported","A top chunk can be on-topic and still not entail the claim. Score span-level entailment, not the presence of a bracketed ID."
Gen AI,"In generative AI, context cost compounding",Each turn typically processes system + retrieval + history. Prefix caching helps identical heads. Naive “keep everything” is a quadratic-feeling bill.
Gen AI,"In generative AI, exposure bias and hallucination",Train on gold prefixes; infer on your own tokens. Small early errors make false but likely continuations. Nothing in the loop verifies the world.
Gen AI,"In generative AI, fine-tune vs RAG vs prompt (decision)",Prompt: policy of the task. RAG: changing or citable facts. Fine-tune: stable skill/style under a token budget. Mixing them up wastes money and still hallucinates.
Gen AI,"In generative AI, injection as a confused-deputy problem","Untrusted text and trusted instructions share one context. Delimit, minimize privileges, and require out-of-band confirmation for side-effecting tools."
Gen AI,"In generative AI, judge-model pitfalls","Self-preference, verbosity, position, and identity bias. Blind the judge, control length, mix human gold, and keep a frozen eval set."
Gen AI,"In generative AI, tokens as the real capacity unit","Windows, bills, and truncation are token-based. Words, pages, and characters will lie—especially for code and non-English text."
Gen AI,"In generative AI, why hybrid search for SKUs and error codes?",Dense embeddings smear rare tokens. BM25/keyword still finds `ECONNRESET` and `SKU-9F3`. Combine scores; don't expect vectors to be a primary key lookup.
Gen AI,"In generative AI, why not fine-tune on support tickets containing PII?",Training data can be extracted from weights. Deletion becomes 'retrain the model'. RAG over an access-controlled store lets you delete a ticket and it is gone.
Java,"In Java, when are GC flags not the answer?","When the live set is huge because the heap is a cache. You will pay pauses or RAM. Split instances, move cache off-heap or to Redis, and size heaps to the working set you can collect."
Java,"In Java, where should graceful shutdown live?","In the framework lifecycle and preStop, with a timeout less than terminationGracePeriodSeconds. Shutdown hooks racing SIGKILL are how you drop in-flight work."
Kubernetes,"In Kubernetes, HPA/VPA/PDB/CA as one budget","HPA wants replicas, VPA wants restarts/resizes, PDB wants a Ready floor, cluster autoscaler wants to drain. If requests fill every node, nothing voluntary can move. Design headroom."
Kubernetes,"In Kubernetes, PV lifecycle traps",Retain: Released PV needs manual claimRef clear to reuse. Delete: provisioner destroys data. WaitForFirstConsumer vs Immediate. RWO attach to one node. tmpfs emptyDir counts as memory against the limit.
Kubernetes,"In Kubernetes, control-plane load from 'app' misconfig","Probe flaps, status spam, huge CRDs/Secrets, per-pod objects with high churn. You will see API latency and etcd fsync saturation before you see 'the Deployment is slow.'"
Kubernetes,"In Kubernetes, image identity that CI and cluster agree on","Record image@sha256 in the PodSpec. Webhooks that rewrite :latest must run on kubectl, operators, and CI alike. Mixed pull policies across nodes produce split-brain binaries."
Kubernetes,"In Kubernetes, readiness must describe the data path","Include sidecars, listen ports, and warmup. App /healthz 200 while the proxy is down still blackholes Service traffic. Flappy readiness also churns EndpointSlices in etcd."
Kubernetes,"In Kubernetes, startupProbe vs lying with delayed liveness",startupProbe disables liveness/readiness until boot succeeds (with its own failure budget). A long initialDelay on liveness is a cruder version and still leaves a dead-during-delay window.
Kubernetes,"In Kubernetes, statefulSet + PDB + PVC during drain",Identities and disks do not surge. PDB must protect quorum (e.g. majority of members Ready). RWO volumes pin AZ/node; drains need replacement capacity in the same topology.
Kubernetes,"In Kubernetes, terminationGracePeriodSeconds includes preStop","Clock starts at deletion. preStop sleep + app drain must fit. Fail readiness first so Endpoints drop while you still serve in-flight. Then SIGKILL is a last resort, not the plan."
Kubernetes,"In Kubernetes, what happens when etcd is too big or too hot?","The API server is a strongly consistent bottleneck. Slow etcd means slow watches, delayed pod status, and scary control-plane elections. Treat object size/count as a budget; don't store blobs in annotations."
Kubernetes,"In Kubernetes, why must admission enforce requests on dedicated nodes?","A taint/selector without requests still lets BestEffort pods schedule there and get OOM-killed or eat CPU. Multi-tenant isolation is a policy you enforce, not a wiki page."
MySQL,How do you scale InnoDB writes when one primary is CPU-bound?,Reads can go to replicas; writes cannot. You shard the write key across primaries (or move that workload). One clustered B-tree will not become a write-horizontal system by adding replicas.
MySQL,"In MySQL, how do join-based multi-table updates acquire surprisingly wide next-key locks?","Locks follow the actual access method: whichever index and range the optimizer scans, including extra gaps if it is not a unique PK point lookup. Rewriting to precise PK updates shrinks lock ranges and deadlock surface."
MySQL,"In MySQL, how do you scale a single hot clustered row that every session updates?","Record locks on that clustered leaf serialize writers; a bigger buffer pool does not help. Split the counter into many rows, append events to a log, or move contention out of InnoDB. Indexes on the counter only add more work."
MySQL,"In MySQL, how should backup LSN/GTID and binlog position relate for a correct PITR?","The snapshot must be a consistent InnoDB LSN/GTID set, and restore must apply binlog from exactly that point. A file copy without redo recovery, or applying from the wrong GTID, duplicates or skips row events around the cut."
MySQL,"In MySQL, what breaks if you set binlog_row_image = MINIMAL to save space?","Only changed columns (plus keys) are logged. Tools, row triggers, or replicas that need full before-images cannot reconstruct the old row. FULL is safer for audit and some CDC; MINIMAL is a measured bandwidth trade."
MySQL,"In MySQL, what is the availability vs consistency choice when Group Replication flow-controls a slow member?","The set can throttle writers to let the slow member catch up, or expel it and keep taking writes with a smaller, sometimes less durable, group. Ignoring lag silently risks divergence and long recovery."
MySQL,"In MySQL, why can online rebuild DDL fail on a very hot table even when the algorithm is INPLACE?","Concurrent DML is buffered in an online log that must be applied at the end. If the table is too write-heavy the log overflows or catch-up never finishes, so ALTER aborts or writes stall. Schedule rebuilds or throttle DML."
MySQL,"In MySQL, why can row-based replication still lag on bulk loads?","The primary may bulk-insert efficiently while the replica applies a huge stream of row events, often single-threaded per schema in older setups. Batching, parallel apply, and not using the replica as a synchronous read-your-writes node are the usual responses."
MySQL,"In MySQL, why keep replica_preserve_commit_order on when it slows parallel apply?","Without it, a replica can expose a commit order the source never had, breaking read-your-writes for apps on the replica and confusing cascading replicas. You buy apply throughput by giving up that observed serial order."
MySQL,Why does InnoDB REPEATABLE READ not prevent write skew the way SERIALIZABLE does?,"Snapshot reads take no predicate locks, so two transactions can each read data that would forbid the other's write and both commit. SERIALIZABLE turns those reads into locking reads, which serializes but deadlocks more under load."
PostgreSQL,"In PostgreSQL, how do full_page_writes and torn pages interact with WAL volume after checkpoints?",The first modification of a page after a checkpoint logs a full page image so recovery can rebuild a torn 8K write. That spikes WAL after each checkpoint. Disabling FPW is only safe if the storage truly writes pages atomically.
PostgreSQL,"In PostgreSQL, how do hash vs range partitions differ for tenant retention and pruning?","Equality on the hash key still prunes, but a tenant's rows are scattered so you cannot detach one tenant cheaply. Range or list on tenant_id makes drop/archive a partition detach, at the cost of skew if some tenants are huge."
PostgreSQL,"In PostgreSQL, how should insert-only tables be frozen so autovacuum does not rescan them forever?","Freeze tuples and set visibility-map bits on newly written pages so later vacuums skip all-visible ranges. Without that, wraparound vacuums repeatedly read terabytes of immutable history."
PostgreSQL,"In PostgreSQL, what breaks in transaction-pooling PgBouncer?","Anything that assumes a session lasts beyond one transaction: temp tables, SET, WITH HOLD cursors, session advisory locks, some prepared statement modes. Design the app for transaction pooling or use session pooling for the sessions that need it."
PostgreSQL,"In PostgreSQL, what goes wrong when a PL/pgSQL loop creates huge numbers of subtransactions?","Subxids overflow the in-memory cache and spill to pg_subtrans. Snapshot and hint-bit checks then do extra I/O, and a rollback of a deep subtransaction stack is expensive. Batch work instead of per-row SAVEPOINTs."
PostgreSQL,"In PostgreSQL, what makes a table-rewrite DDL cutover fail even if you copy rows in batches?","Concurrent writes must be dual-written or paused; sequences, FKs, triggers, TOAST, and replica identity must stay consistent. A swap without a lock window or trigger-based backfill loses or duplicates rows at the boundary."
PostgreSQL,"In PostgreSQL, when is BRIN the right index, and when does it become a lie?",BRIN is cheap and effective when physical order correlates with the indexed key (append-mostly time series). Random updates and heap-only churn widen range summaries until pruning stops working and you wanted btree or clustering.
PostgreSQL,"In PostgreSQL, why can SSI abort a read-only transaction?","Serializable Snapshot Isolation tracks rw-conflicts. A read-only snapshot can complete a dangerous cycle with concurrent writes, so PostgreSQL aborts one participant. Retry is part of the model, not an engine bug."
PostgreSQL,"In PostgreSQL, why is a logical UPDATE that changes a replicated identity or row-filter key so dangerous?","Logical decoding emits an UPDATE, not a coordinated DELETE+INSERT across publications. Filters, partitions, and replica identity can drop the old key and never insert the new one, causing silent drift between nodes."
PostgreSQL,"In PostgreSQL, why is a sync standby on the commit path a product decision?","Every COMMIT waits for that standby to flush WAL. You improved RPO and imported its availability and AZ latency into the primary's write SLO. If the standby flaps, writes stall. That can be correct for money; it is wrong for a best-effort cache."
Python,How do you use many cores from CPython?,"Processes, or native code that releases the GIL (numpy, a Rust extension). Threads and asyncio overlap I/O; they do not parallelize bytecode. Architect the pipeline around that fact."
Python,"In Python, how do C extensions get in the way of concurrency?","If they hold the GIL for heavy work, threads cannot run Python. The fix is Py_BEGIN_ALLOW_THREADS around the compute, or run that work in another process."
Python,"In Python, is the GIL a mutex for your dict?","No. It protects CPython internals, not your compound invariants. Two bytecode instructions can interleave around dict[k] += 1. Use a lock or a single-thread owner."
Python,"In Python, why is pickle a bad interchange format?","It encodes Python object graphs and class paths, not a stable schema. Version skew breaks it, and unpickling untrusted bytes is code execution. Use parquet, JSON, or protobuf at the boundary."
Redis,"In Redis, WAIT / WAITAOF after a write?",Optional barrier until replicas or AOF meet a durability bar. Default SET does not wait. Still not full consensus like a database commit.
Redis,"In Redis, correct cache-aside write path?","Write the database, then invalidate (or carefully update) Redis so a stale cache cannot resurrect old truth. Do not treat SET as commit."
Redis,"In Redis, cross-slot MULTI/EXEC?","Refused. Colocate with hash tags, or use an external workflow/database transaction. Redis 'transactions' are one-instance command queues."
Redis,"In Redis, node death in Cluster?",Slots on that node are unavailable until a replica fails over. No replica => those keys are gone from the cluster until restore. Plan replicas.
Redis,"In Redis, stampede + single thread + slow DB fill?",One owner refills; others wait or serve stale; jitter TTLs. Never let N app servers reconstruct the same key at once into one Redis thread.
Redis,"In Redis, what is the RPO of async replica promotion?","Whatever was not replicated. Session stores and queues that only lived on the old primary are gone. If that RPO is unacceptable, wait for replication (costing latency) or store the source of truth elsewhere."
Redis,"In Redis, what must Cluster clients handle during slot migration?",MOVED/ASK redirects and transient cross-slot errors. A pipeline of mixed-slot keys is not one node-local batch.
Redis,"In Redis, why are big keys worse than 'they use RAM'?","Serialization, expiry, replica sync, and many commands become O(N) on the single thread. Split hashes/lists/streams."
Redis,Streams/consumer groups vs 'Redis is my job system of record'?,Groups give pending lists and acks after worker crash. Useful. Still memory/eviction/persistence limited — not your financial ledger.
Redis,What makes a Redis lock correct enough to mutate a resource?,"Expiry so it cannot live forever, and a fencing token so work started under an expired lock cannot still commit. SET NX without both is a mutex-shaped race."
Spring Boot,"In Spring Boot, why is a shared database between services a distributed monolith?","Schema changes, locks, and entity meaning now require coordinated deploys. You lost independent release. Split ownership or accept you are one app in two repos."
Spring Boot,What is the outbox pattern doing in a Spring service?,You commit the business row and an 'event to send' in the same database transaction. A relay publishes after commit. Crashes retry the publish. You do not call Stripe inside the DB transaction and hope.
