Section,Question,Option A,Option B,Option C,Option D,Correct Answer
Data Structures & Algorithms,"In data structures and algorithms, you need O(1) expected lookup by id and do not need ordered iteration. What is the default structure, and when does it bite you?",Balanced BST: lookups are O(1).,"Hash table: great until a bad hash, huge load factor, or you need range queries / sorted order.",Linked list: lookups are O(1) with a head pointer.,"Heap: find-min is O(1), so find-by-id is too.",B
Data Structures & Algorithms,"In data structures and algorithms, you need the next job with the highest priority, repeatedly, while jobs arrive. Hash, tree, or heap?","Heap (priority queue) — extract-max/min is the operation; a hash has no order, an ordered tree can do it but with more overhead if you only need the extreme","Hash table keyed by priority, because priorities are unique",Singly linked list scanned from the head only,Bloom filter of finished jobs,A
Data Structures & Algorithms,"In data structures and algorithms, you need the shortest number of hops in an unweighted graph (site crawler, maze). BFS or DFS?",BFS — the first time you reach a node is a minimum-hop path; DFS can dive down a long dead end first,DFS — recursion always yields shortest paths,"Either, because both visit the same nodes",A heap of random nodes,A
Data Structures & Algorithms,"In data structures and algorithms, you sort a list of (name, score) by score descending with an unstable sort, then by name. What breaks?",People with the same name no longer keep score order from the first pass — the second key scramble depends on stability of the name sort,Unstable sorts cannot compare integers,Heaps cannot sort pairs,BFS will restore the score order,A
Data Structures & Algorithms,"In data structures and algorithms, you sort invoices by date, then by customer, and you need all of one customer's invoices to stay in date order. What property do you need from the second sort?",Stability — equal keys (same customer) keep their previous (date) order,In-place partitioning,"That the sort is a heap sort, which is always stable",Bloom-filter uniqueness of dates,A
DynamoDB,"In DynamoDB, a dashboard needs every order from last year with no known user or order id. Why is a table Scan usually the wrong first design?",Scan can only return one item,"Scan walks the whole table, burns read capacity on irrelevant items, and gets slower as data grows",Scan is strongly consistent and therefore forbidden,Scan cannot paginate,B
DynamoDB,"In DynamoDB, a product table uses status as the partition key, and almost every item is ACTIVE. Writes start throttling even though table-level capacity looks unused. What is the real problem?",DynamoDB cannot store more than one item per partition key,A low-cardinality partition key funnels traffic onto too few partitions (hot keys),On-demand mode ignores partition keys,Sort keys are required for every write,B
DynamoDB,"In DynamoDB, a single celebrity userId receives a huge fraction of likes. Adaptive capacity cannot fully save you because:",All items for one partition key still share that key's throughput ceiling,DynamoDB forbids popular keys,On-demand tables do not shard,GSIs ignore partition keys,A
DynamoDB,"In DynamoDB, a table has a sharp weekday peak and near-zero nights. What capacity shape fits without overpaying all week?",Provisioned at the peak 24/7,"On-demand, or provisioned with auto scaling that tracks the daily curve",A global table in every region,A Scan instead of Query,B
DynamoDB,"In DynamoDB, a table's partition key is `status` with values OPEN/CLOSED, and almost all traffic is OPEN. What goes wrong as you scale?",DynamoDB will reject the table because partition keys must be UUIDs.,"Most requests hash to the same partition (a hot key), so that shard throttles while others sit idle.","Global secondary indexes automatically rebalance the key, so nothing happens.",DynamoDB converts the table to a scan-optimized layout and latency improves.,B
DynamoDB,"In DynamoDB, eventually consistent reads are the default because they:",Always return stale data,Cost less and are enough when the client can tolerate a brief lag after a write,Bypass partition limits,Are the only option for GetItem,B
DynamoDB,"In DynamoDB, filter expressions on a Scan or Query run after capacity is consumed. What does that imply?",Filters are a substitute for a good key design,You still pay to read items that the filter later throws away,Filters make the operation strongly consistent,Filters avoid partition throttling,B
DynamoDB,"In DynamoDB, high partition-key cardinality matters because:",DynamoDB only allows 10 distinct keys,"Many distinct, relatively even keys let the service spread load; a handful of keys cannot",Cardinality enables strongly consistent GSIs,Cardinality removes the 400KB limit,B
DynamoDB,"In DynamoDB, on-demand vs provisioned capacity is mainly a statement about workload shape. Which pairing is right?","On-demand for spiky or unknown traffic; provisioned for steady, forecastable load",On-demand only for strongly consistent reads,Provisioned only for tables without sort keys,On-demand removes partition-key hotspots,A
DynamoDB,"In DynamoDB, what does a well-chosen partition key actually control?",Which AWS region stores the table,How traffic is spread across storage partitions,Whether reads are strongly consistent,The maximum item size,B
DynamoDB,"In DynamoDB, what is the practical difference between GetItem and Query?",GetItem needs the full primary key for one item; Query reads a partition (optionally a sort-key range),Query cannot use a sort key,GetItem always scans the table,They are identical if eventual consistency is on,A
DynamoDB,"In DynamoDB, when should you choose a strongly consistent read over the default eventually consistent read?",Whenever you want cheaper reads,When the next decision cannot tolerate a replica that has not yet seen the latest write to that item,When reading from a global secondary index,When the item is larger than 400KB,B
DynamoDB,"In DynamoDB, why do engineers treat the 400KB item size cap as a modeling constraint, not just a storage limit?",Larger items must be split across partitions automatically,"Every read and write moves the whole item, so fat items amplify latency, cost, and hot-partition risk",Secondary indexes cannot project attributes under 400KB,Transactions fail if any item is under 400KB,B
DynamoDB,"In DynamoDB, why is Scan the wrong default for a user-facing request path?",Scan can only return one item per call.,Scan reads every partition; cost and latency grow with table size instead of with the result you need.,Scan is eventually consistent only and cannot be strongly consistent.,Scan is disabled once a table has a sort key.,B
DynamoDB,"In DynamoDB, you know userId and want that user's orders in a time range. Which operation matches the data model?",Scan with a filter on userId,Query on partition key userId and a sort-key condition on timestamp,GetItem with only the timestamp,BatchWriteItem to read,B
DynamoDB,Why store a profile photo URL (or S3 key) in DynamoDB instead of the image bytes?,URLs are the only string type DynamoDB allows,"Images blow past the item-size model, make every user read heavier, and turn a metadata store into blob storage",S3 cannot store images,Binary attributes are eventually consistent only,B
DynamoDB,You need all orders for a customer in date order. Which key design matches how DynamoDB actually partitions data?,"Partition key = order id, sort key = customer id, then Query by customer.","Partition key = customer id, sort key = order date (and order id), then Query that partition.",No keys; use Scan with a filter on customer id for every request.,A random partition key plus a local secondary index on customer id for Query.,B
Gen AI,"In generative AI, RAG still fails when:",The retriever never surfaces the passage that actually answers the question,Adjacent chunks share a small overlap,You log which document IDs were retrieved,You cap the maximum answer length,A
Gen AI,"In generative AI, a 200-page policy PDF is pasted into the prompt and the model misses a clause in the middle. What limit did you hit conceptually?","Models cannot read PDFs, only HTML.",Context is finite and attention is uneven; long dumps get truncated or under-attended — retrieve the relevant chunks instead.,The tokenizer refuses documents over 10 pages.,You must fine-tune or the model cannot see user text.,B
Gen AI,"In generative AI, a common chunking mistake is:",Keeping a heading with the paragraph it introduces,Splitting a definition so the term and its meaning land in different chunks,Using modest overlap between neighboring chunks,Dropping repeated boilerplate headers,B
Gen AI,"In generative AI, a model can sound confident while wrong because:",Token likelihood is not a calibrated score that the claim is true,Every decoded sentence is checked against a knowledge graph,Temperature is a built-in fact checker,Decoding uses symbolic proof search,A
Gen AI,"In generative AI, a model is trained to predict the next token. Why can it still invent a plausible-looking citation?",It stores a verified database of papers and sometimes returns the wrong row.,"It samples a fluent continuation, not a lookup of facts; truth is not the training objective.",Hallucinations only happen if temperature is 0.,"The tokenizer strips numbers, so citations cannot be copied from training data.",B
Gen AI,"In generative AI, an eval pitfall is scoring a system by:",Held-out gold answers for the actual task,"Whether the model’s own prose says the answer “looks good,” with no task labels",Retrieval recall on a labeled corpus,Agreement with a blinded human rubric,B
Gen AI,"In generative AI, context-window cost grows with:",Only the number of user accounts,"Input and generated tokens the model processes (and, with attention, interactions among them)","Only images, never text",The number of CPU cores on the client laptop,B
Gen AI,"In generative AI, prefer RAG over fine-tuning when:",You only need a new output JSON schema once,Facts live in documents that change and must be citable,You want to avoid embeddings and search entirely,You cannot write a system prompt,B
Gen AI,"In generative AI, prefer changing the prompt over fine-tuning when:",You must bake a huge private corpus into weights,"The task, format, and constraints can be stated in the input",You need a new tokenizer,You want to skip evaluation,B
Gen AI,"In generative AI, prompt injection is:",A GPU memory allocator bug,Untrusted text in context that tries to override the developer’s instructions,Setting temperature above 1,Using too many few-shot examples,B
