Section,Question,Correct Answer
DynamoDB,"In DynamoDB, how should you model around the 400KB item limit?","Keep items metadata-sized. Put large blobs in object storage and store a pointer. Split 1:N into item collections (PK=parent, SK=child) instead of a giant nested list."
DynamoDB,"In DynamoDB, on-demand vs provisioned as workload shape?","On-demand fits spiky/unknown traffic. Provisioned (often with autoscaling) fits steady, forecastable QPS. Neither removes a single hot key."
DynamoDB,"In DynamoDB, query vs GetItem vs Scan?","GetItem: one item by full primary key. Query: one partition, optional sort-key range. Scan: whole table — last resort, not an access pattern."
DynamoDB,"In DynamoDB, strongly consistent vs eventually consistent reads?",Eventual is cheaper and fine if a brief lag is OK. Strong (base table only) is for read-my-write on that item in that region. GSIs are eventual.
DynamoDB,"In DynamoDB, what does the partition key actually choose?","Which partition stores the item and therefore where that item's throughput is accounted. Design keys from access patterns, not from ER diagrams."
DynamoDB,"In DynamoDB, what is a hot key?",A partition key (or key range) that receives a disproportionate share of reads/writes so one partition throttles while the table still looks like it has spare capacity.
DynamoDB,"In DynamoDB, why design for Query, not Scan, on the request path?","Query hits one partition (and a sort-key range). Scan walks the table. Scan's cost and tail latency grow with data size, not with the answer size, so it belongs in jobs — not in user requests."
DynamoDB,"In DynamoDB, why do Scans hurt as the table grows?","Scan reads every item (you still pay for filtered-out rows), eats read capacity, and latency tracks table size. Prefer Query on keys that match an access pattern."
DynamoDB,"In DynamoDB, why does partition-key cardinality matter?","DynamoDB spreads load by key. Low-cardinality keys (status=ACTIVE) collapse traffic onto few partitions; high, even cardinality lets the table scale."
DynamoDB,What makes a DynamoDB partition hot?,"Item location is a hash of the partition key. If one key (or a tiny set) gets most traffic, one shard takes the hit and throttles even if the table has unused capacity. High-cardinality keys, sharding suffixes, or caching hot items are the usual fixes."
Gen AI,"In generative AI, RAG failure: retrieval miss","If the answering chunk is never retrieved, the generator will guess. Retrieval quality is an upper bound on grounded quality."
Gen AI,"In generative AI, chunking rule of thumb","Make each chunk self-contained enough to answer. Overlap helps boundaries. Splitting mid-table, mid-code, or mid-definition loses meaning."
Gen AI,"In generative AI, context window cost","Every included token is processed. Longer context raises latency, compute, and price, and can drown the useful span in noise."
Gen AI,"In generative AI, prompt injection",Attacker-controlled content in the context tries to override the system task or hijack tools. Treat retrieved and user-supplied text as untrusted.
Gen AI,"In generative AI, prompt vs RAG vs fine-tune",Prompt = task and constraints. RAG = living documents. Fine-tune = style/format/domain behavior in weights. Do not fine-tune to store facts that change.
Gen AI,"In generative AI, tokens ≠ words","Subword tokenizers split or merge pieces. Cost, truncation, and context limits are in tokens. The same sentence can be more tokens in some languages or in code."
Gen AI,"In generative AI, what does temperature do?",It rescales the next-token distribution. High = more random/diverse. Low = more greedy/deterministic. It does not add knowledge.
Gen AI,"In generative AI, what is a context window, practically?","The model only attends to a bounded token budget (prompt + generation). Overflow is truncated or rejected, and quality often falls on very long dumps. Put the relevant evidence in, don't paste the whole corpus."
Gen AI,"In generative AI, why do next-token models hallucinate?","They predict likely next tokens, not verified facts. Fluency is not a truth check, so coherent text can still be false."
Gen AI,Why do LLMs hallucinate?,"They generate likely next tokens, not answers from a knowledge base with a truth constraint. Fluency is cheap; grounding is not. Retrieval, tools, citations you actually fetch, and eval are how products constrain that."
Java,"In Java, what goes wrong with an unbounded thread-pool queue?","Work hides in memory instead of being rejected. Latency goes to infinity, heap grows, and you OOM. Bounded queues plus a rejection policy (caller-runs, fail fast) give backpressure."
Java,"In Java, why must equals and hashCode stay in contract?","Hash-based collections place an object by hashCode and find it with equals. If you mutate a field that feeds hashCode, the object is in the wrong bucket. If equals uses fields hashCode ignores, two 'equal' keys can both live in the map."
Kubernetes,"In Kubernetes, HPA vs VPA","HPA changes replica count from metrics (CPU, custom). VPA changes resource requests/limits on the pod. They conflict if both chase the same saturation signal."
Kubernetes,"In Kubernetes, graceful shutdown sequence on pod delete","preStop hook (if any) → SIGTERM → app drains connections → exit. If still running at terminationGracePeriodSeconds, SIGKILL. Also fail readiness immediately so the Service stops sending work."
Kubernetes,"In Kubernetes, liveness vs readiness — what happens if you mix them up?","Readiness removes the pod from Service endpoints until it can serve. Liveness kills and restarts the container. If liveness depends on a overloaded dependency, Kubernetes restarts the victim, which often makes the outage worse. Keep liveness cheap and process-local."
Kubernetes,"In Kubernetes, liveness vs readiness, one sentence each","Liveness: restart this container, it is wedged. Readiness: keep it running but take it out of Endpoints until it can serve. Never point liveness at a shared dependency."
Kubernetes,"In Kubernetes, requests vs limits","requests = scheduler reservation and (for CPU) baseline share. limits = runtime cap (CPU throttle, memory OOMKill). A pod with no request can be packed tightly and then starved."
Kubernetes,"In Kubernetes, rolling update: maxSurge vs maxUnavailable",maxSurge = extra new pods allowed above desired. maxUnavailable = how many can be down. Together they bound capacity during a Deployment rollout.
Kubernetes,"In Kubernetes, what CrashLoopBackOff is telling you","The container keeps dying after start (bad config, missing secret, failed liveness, OOM). kubelet restarts with exponential backoff. Inspect previous logs, exit code, and events — it is not a pending/schedule problem."
Kubernetes,"In Kubernetes, what a PDB actually blocks","Voluntary disruptions (drain, eviction API) that would take ready pods below minAvailable / exceed maxUnavailable. Not node crashes, OOM, or failed liveness."
Kubernetes,"In Kubernetes, why :latest (or any mutable tag) is unsafe","The name does not pin a digest. Nodes may run different bits, rollbacks are lies, and IfNotPresent may never pick up the 'new latest.' Pin digest or immutable tags."
Kubernetes,"In Kubernetes, why pin image digests or immutable tags?",":latest means 'whatever we pulled last'. Different nodes can run different bytes, and you cannot roll back to a known artifact. Production should ship a digest or an immutable version tag."
MySQL,"In MySQL, how can REPEATABLE READ still surprise you with phantom-like behavior?","Plain SELECTs use a consistent MVCC snapshot and do not lock gaps. Mixing snapshot reads with later writes, or assuming RR is SERIALIZABLE, lets concurrent inserts change outcomes you thought were frozen."
MySQL,"In MySQL, what is a gap lock and why does it block inserts of keys that do not exist yet?","Under REPEATABLE READ, next-key locking locks the record and the gap before it so no one can insert into a scanned range. That prevents phantoms for locking reads, but concurrent inserts into those gaps wait or deadlock."
MySQL,"In MySQL, when is a covering secondary index worth the extra write cost?","When a frequent query can be satisfied from the secondary leaf alone, you avoid a clustered lookup per row. You pay for maintaining another tree on every write, so it should match a real hot path, not every column you might select."
MySQL,"In MySQL, why are some ALTERs 'online' and others a table rebuild?","INSTANT/INPLACE changes that are metadata-only or can build a secondary index without copying the clustered table avoid a full rewrite. Changing types or some nullability still rebuilds rows, copies the table, and blocks or lags more."
MySQL,"In MySQL, why can replica reads be wrong even when the replica is 'up'?","Async replication applies the primary's binlog with lag. A client that writes on the primary and immediately reads a random replica can miss its own write. Read-your-writes needs the primary, a session-consistent replica, or a lag check."
MySQL,"In MySQL, why can statement-based replication diverge while row-based does not?","SBR re-executes SQL on the replica, so non-deterministic functions, different optimizer choices, or data drift produce different rows. RBR ships row images, so the replica applies the same changes at higher binlog volume."
MySQL,"In MySQL, why does replica lag often jump when a long source transaction commits?","The source writes the transaction to the binlog at commit, then the replica fetches and applies a burst of events. During the open transaction the replica can look caught up even though a large apply queue is about to arrive."
MySQL,"What does the InnoDB buffer pool cache, and what happens when it is too small?","It caches data and index pages (and related structures). If the working set misses, you pay disk reads and dirty-page flushes. Size it for clustered leaves plus the secondary indexes your workload actually touches."
MySQL,Why does an InnoDB secondary index lookup often do two B-tree searches?,"The clustered primary-key tree holds the row. A secondary index stores the PK columns, not the full row. After finding the secondary entry, InnoDB looks up the PK to fetch remaining columns — unless the secondary index already covers the query."
MySQL,Why is InnoDB's primary key the table?,Rows live in the clustered B+tree ordered by the PK. Secondary indexes store the PK as the locator and then look up the clustered row. A random or very wide PK therefore slows inserts and inflates every secondary index.
PostgreSQL,"In PostgreSQL, how does a HOT update avoid touching indexes?","If indexed columns are unchanged and the new version fits on the same heap page, PostgreSQL links a heap-only tuple and leaves index pointers at the old line pointer. No free space or an indexed-column change forces a non-HOT update and index WAL."
PostgreSQL,"In PostgreSQL, what does WAL give you, and what does a CHECKPOINT change about crash recovery?",WAL records every change so a crash can redo work since the last consistent point. A checkpoint flushes dirty pages so older WAL can be recycled. Larger gaps between checkpoints speed normal writes but lengthen recovery.
PostgreSQL,"In PostgreSQL, what does partition pruning need in order to actually reduce I/O?","The query must constrain the partition key with a planner-visible predicate (not hidden in a wrapper). Otherwise every partition is opened and planned, which can be slower than an unpartitioned table."
PostgreSQL,"In PostgreSQL, what does synchronous_commit = off actually risk?","COMMIT returns before WAL is flushed to disk. After a crash, recently 'committed' transactions can vanish. You trade durability of the last moments of writes for lower COMMIT latency on data you can afford to lose."
PostgreSQL,"In PostgreSQL, what is the practical difference between session pooling and transaction pooling?","Session pooling keeps session state (SET, prepared statements, WITH HOLD cursors) on one backend. Transaction pooling returns the backend at COMMIT, which multiplies capacity but breaks anything that assumes session affinity."
PostgreSQL,"In PostgreSQL, when does a btree index help a query, and when does it hurt?","It helps when the predicate is selective and avoids reading most heap pages. It hurts when it matches a large fraction of the table, adding random I/O on top of a cheaper sequential heap read, and it always adds write and vacuum cost."
PostgreSQL,"In PostgreSQL, why can a single idle-in-transaction session block autovacuum cleanup?","VACUUM cannot remove tuple versions still visible to any running snapshot. An old idle transaction holds back xmin, so dead rows pile up, tables bloat, and query plans degrade until that session ends."
PostgreSQL,"In PostgreSQL, why write WAL before the heap?","Durability is 'the log hit disk', not 'the table file is up to date'. After a crash PostgreSQL can replay WAL and reconstruct committed changes. Putting WAL on drowning-slow storage, or skipping fsync, trades that durability away."
PostgreSQL,Why does PostgreSQL MVCC make UPDATEs create a new heap tuple instead of overwriting in place?,Concurrent snapshots must still see the old row version until their xmin/xmax visibility rules allow the new one. Overwriting would make readers observe uncommitted or future states. The cost is dead tuples that VACUUM must later reclaim.
PostgreSQL,Why don't readers block writers under PostgreSQL MVCC?,Each transaction sees a snapshot of row versions. A writer creates a new version instead of overwriting the bytes a reader is using. The cost is dead versions: VACUUM (and related freeze work) must reclaim them or tables bloat and XID wraparound becomes a risk.
Python,"In Python, what does the GIL actually serialize?","Bytecode execution in CPython. It does not magically make your data structures thread-safe, and it does not prevent I/O from overlapping. CPU-bound pure-Python needs processes or a native extension that releases the GIL; I/O-bound work can still benefit from threads or asyncio."
Python,"In Python, when should you use `is`?","Identity: None, sentinels, and 'is this the same object'. Not for string/int equality. Interning makes `is` accidentally work in demos and fail in production."
Python,"In Python, why are mutable default arguments shared?","Defaults are evaluated once, when the function is defined, and stored on the function object. A default list or dict is therefore the same object on every call. Use `None` and allocate inside the function."
Python,"In Python, why is a generator not a list?","It produces values as you iterate and then is spent. You cannot rewind it or ask its length cheaply. If two consumers need the data, materialize a list or recreate the generator."
Redis,"In Redis, KEYS vs SCAN?",KEYS * blocks the single thread over the whole keyspace. SCAN iterates incrementally and is the production-safe way to walk keys.
Redis,"In Redis, RDB vs AOF in one thought.","RDB is a point-in-time snapshot: fast restart, can lose everything since the last save. AOF appends every write and can be fsynced more often, at a cost in disk and rewrite work. Many production setups use both."
Redis,"In Redis, RDB vs AOF?","RDB: compact point-in-time snapshot, more potential loss since last save. AOF: logs writes for a tighter durability window, more disk work. Often combined."
Redis,"In Redis, what are cluster slots?",The keyspace is split into hash slots owned by nodes. A key lives in one slot. Multi-key ops need the same slot (hash tags like {userId}).
Redis,"In Redis, what does a TTL actually guarantee?",The cache entry may go away. It is not a business delete in the source of truth and not a durability mechanism.
Redis,"In Redis, what is a cache stampede?","Many clients miss the same expired/hot key at once and all hit the origin. Mitigate with single-flight, stale-while-revalidate, and jittered TTLs."
Redis,"In Redis, what is eviction?","When maxmemory is hit, Redis drops keys by policy (allkeys-lru, volatile-lru, LFU, noeviction, …). A SET can succeed now and still disappear later."
Redis,"In Redis, why can one slow command stall every client?","The core command loop is single-threaded. A O(N) KEYS, a huge sort, or a big Lua script owns that thread until it finishes. Other connections wait. Use bounded operations, SCAN, and complexity-aware data structures."
Redis,What does Redis's single-threaded command loop imply?,"One slow or O(N) command blocks other clients on that process. More connections ≠ more cores. Avoid KEYS, huge values, and heavy aggregates on the hot instance."
Redis,Why is Redis not the source of truth?,Memory + eviction + async replicas + snapshot/AOF gaps mean data can vanish. Persist business state in a database; Redis holds a speed copy.
Spring Boot,"In Spring Boot, what is the Open Session in View footgun?","The persistence context (and usually the JDBC connection) stays open while the view renders. Lazy associations become hidden queries on the request thread, N+1 shows up in production, and pool connections are held during template rendering."
Spring Boot,"In Spring Boot, why can @Transactional on a self-call do nothing?","Spring puts the advice on a proxy. `this.other()` is a direct Java call, so no proxy, no transaction, no rollback. Move the method to another bean or self-inject the proxy if you truly need the inner boundary."
