Section,Level,Question,Correct Answer
Cassandra,junior,"In Cassandra, what is a tombstone and why must it exist?","It is a deletion marker stored like data. Without it, an older SSTable could resurrect a value after a delete. Compaction removes tombstones only after it is safe."
Cassandra,junior,"In Cassandra, what is hinted handoff?","If a replica is down, the coordinator may store a hint and replay the mutation when the replica returns. It is a short-term miss buffer, not full repair."
Cassandra,junior,"In Cassandra, what is the difference between RF and consistency level?",RF is how many replicas store each partition. CL is how many replicas must acknowledge this specific read or write before success.
Cassandra,junior,"In Cassandra, why are LWTs more expensive than ordinary writes?","IF / CAS uses a Paxos-style agreement round on the partition instead of a regular quorum write, adding round trips and contention."
Cassandra,junior,"In Cassandra, why are hot partitions dangerous?",All reads/writes for that key hash to the same token and the same small replica set. Those nodes become the bottleneck even if the cluster average looks fine.
Cassandra,junior,"In Cassandra, why do deletes leave tombstones?","Replicas may be down. If you dropped the row immediately, repair could copy an old copy back. A tombstone says 'this is gone' until gc_grace_seconds, then it can be dropped. Too many tombstones make reads scan a graveyard."
Cassandra,junior,"In Cassandra, with RF=3, how many replicas is QUORUM?","A majority of RF, so 2. ALL would be 3; ONE would be 1."
Data Structures & Algorithms,junior,"In data structures and algorithms, BFS vs DFS, pick from the question","Fewest hops / unweighted shortest / level order → BFS. Explore one branch, cycle detect in directed graphs, topo-style recursion, lower memory on skinny graphs → DFS."
Data Structures & Algorithms,junior,"In data structures and algorithms, LRU as two structures",Hash map: key → node. Doubly linked list (or clock/2Q variant): recency. Hit = splice to front. Evict = drop tail. One without the other misses the workload.
Data Structures & Algorithms,junior,"In data structures and algorithms, bloom filter contract",'No' = definitely absent. 'Yes' = maybe present (false positives). Size and hash count trade memory for that error rate. Never treat yes as proof.
Data Structures & Algorithms,junior,"In data structures and algorithms, hash table vs tree — how do you choose?","Hash tables give expected O(1) lookup without order. Trees (or sorted arrays) give ordered scans, range queries, and worst-case bounds. If you need 'all keys from A to B', a hash table makes you scan everything."
Data Structures & Algorithms,junior,"In data structures and algorithms, pick hash vs tree vs heap from the query","Exact key lookup / membership → hash. Ordered range, predecessor, sorted iteration → tree. Repeated extract-min/max → heap. Do not store a dictionary in a heap."
Data Structures & Algorithms,junior,"In data structures and algorithms, union-find workload","Disjoint sets with merge and same-component queries (networks, Kruskal, clustering). Path compression + union by rank makes the operations effectively tiny. Not a replacement for shortest path."
Data Structures & Algorithms,junior,"In data structures and algorithms, what is a Bloom filter actually promising?","A compact, probabilistic set. 'No' means definitely not present. 'Yes' means maybe, with a tuned false-positive rate. You use it to skip expensive lookups, never as the only source of truth."
Data Structures & Algorithms,junior,"In data structures and algorithms, when stability of a sort matters","Ties must keep input order: multi-pass sorts (sort by last key first), UI that should not jump rows, and merging already-ordered groups. Unstable is fine if you sort a total unique key."
Data Structures & Algorithms,junior,"In data structures and algorithms, why consistent hashing exists","hash % N reshuffles nearly all keys when N changes. Consistent hashing moves ~keys/N. Use it for caches, shards, and DHT-style ownership."
Data Structures & Algorithms,junior,"In data structures and algorithms, why linked lists lose on real machines","Pointer chasing: poor spatial locality, extra allocations, no prefetch. An array/ring buffer does the same O(1) enqueue with contiguous loads. Measure cache misses, not just big-O."
DynamoDB,junior,"In DynamoDB, how should you model around the 400KB item limit?","Keep items metadata-sized. Put large blobs in object storage and store a pointer. Split 1:N into item collections (PK=parent, SK=child) instead of a giant nested list."
DynamoDB,junior,"In DynamoDB, on-demand vs provisioned as workload shape?","On-demand fits spiky/unknown traffic. Provisioned (often with autoscaling) fits steady, forecastable QPS. Neither removes a single hot key."
DynamoDB,junior,"In DynamoDB, query vs GetItem vs Scan?","GetItem: one item by full primary key. Query: one partition, optional sort-key range. Scan: whole table — last resort, not an access pattern."
DynamoDB,junior,"In DynamoDB, strongly consistent vs eventually consistent reads?",Eventual is cheaper and fine if a brief lag is OK. Strong (base table only) is for read-my-write on that item in that region. GSIs are eventual.
DynamoDB,junior,"In DynamoDB, what does the partition key actually choose?","Which partition stores the item and therefore where that item's throughput is accounted. Design keys from access patterns, not from ER diagrams."
DynamoDB,junior,"In DynamoDB, what is a hot key?",A partition key (or key range) that receives a disproportionate share of reads/writes so one partition throttles while the table still looks like it has spare capacity.
DynamoDB,junior,"In DynamoDB, why design for Query, not Scan, on the request path?","Query hits one partition (and a sort-key range). Scan walks the table. Scan's cost and tail latency grow with data size, not with the answer size, so it belongs in jobs — not in user requests."
DynamoDB,junior,"In DynamoDB, why do Scans hurt as the table grows?","Scan reads every item (you still pay for filtered-out rows), eats read capacity, and latency tracks table size. Prefer Query on keys that match an access pattern."
DynamoDB,junior,"In DynamoDB, why does partition-key cardinality matter?","DynamoDB spreads load by key. Low-cardinality keys (status=ACTIVE) collapse traffic onto few partitions; high, even cardinality lets the table scale."
DynamoDB,junior,What makes a DynamoDB partition hot?,"Item location is a hash of the partition key. If one key (or a tiny set) gets most traffic, one shard takes the hit and throttles even if the table has unused capacity. High-cardinality keys, sharding suffixes, or caching hot items are the usual fixes."
Gen AI,junior,"In generative AI, RAG failure: retrieval miss","If the answering chunk is never retrieved, the generator will guess. Retrieval quality is an upper bound on grounded quality."
Gen AI,junior,"In generative AI, chunking rule of thumb","Make each chunk self-contained enough to answer. Overlap helps boundaries. Splitting mid-table, mid-code, or mid-definition loses meaning."
Gen AI,junior,"In generative AI, context window cost","Every included token is processed. Longer context raises latency, compute, and price, and can drown the useful span in noise."
Gen AI,junior,"In generative AI, prompt injection",Attacker-controlled content in the context tries to override the system task or hijack tools. Treat retrieved and user-supplied text as untrusted.
Gen AI,junior,"In generative AI, prompt vs RAG vs fine-tune",Prompt = task and constraints. RAG = living documents. Fine-tune = style/format/domain behavior in weights. Do not fine-tune to store facts that change.
Gen AI,junior,"In generative AI, tokens ≠ words","Subword tokenizers split or merge pieces. Cost, truncation, and context limits are in tokens. The same sentence can be more tokens in some languages or in code."
Gen AI,junior,"In generative AI, what does temperature do?",It rescales the next-token distribution. High = more random/diverse. Low = more greedy/deterministic. It does not add knowledge.
Gen AI,junior,"In generative AI, what is a context window, practically?","The model only attends to a bounded token budget (prompt + generation). Overflow is truncated or rejected, and quality often falls on very long dumps. Put the relevant evidence in, don't paste the whole corpus."
Gen AI,junior,"In generative AI, why do next-token models hallucinate?","They predict likely next tokens, not verified facts. Fluency is not a truth check, so coherent text can still be false."
Gen AI,junior,Why do LLMs hallucinate?,"They generate likely next tokens, not answers from a knowledge base with a truth constraint. Fluency is cheap; grounding is not. Retrieval, tools, citations you actually fetch, and eval are how products constrain that."
Java,junior,"In Java, what goes wrong with an unbounded thread-pool queue?","Work hides in memory instead of being rejected. Latency goes to infinity, heap grows, and you OOM. Bounded queues plus a rejection policy (caller-runs, fail fast) give backpressure."
Java,junior,"In Java, why must equals and hashCode stay in contract?","Hash-based collections place an object by hashCode and find it with equals. If you mutate a field that feeds hashCode, the object is in the wrong bucket. If equals uses fields hashCode ignores, two 'equal' keys can both live in the map."
Kubernetes,junior,"In Kubernetes, HPA vs VPA","HPA changes replica count from metrics (CPU, custom). VPA changes resource requests/limits on the pod. They conflict if both chase the same saturation signal."
Kubernetes,junior,"In Kubernetes, graceful shutdown sequence on pod delete","preStop hook (if any) → SIGTERM → app drains connections → exit. If still running at terminationGracePeriodSeconds, SIGKILL. Also fail readiness immediately so the Service stops sending work."
Kubernetes,junior,"In Kubernetes, liveness vs readiness — what happens if you mix them up?","Readiness removes the pod from Service endpoints until it can serve. Liveness kills and restarts the container. If liveness depends on a overloaded dependency, Kubernetes restarts the victim, which often makes the outage worse. Keep liveness cheap and process-local."
Kubernetes,junior,"In Kubernetes, liveness vs readiness, one sentence each","Liveness: restart this container, it is wedged. Readiness: keep it running but take it out of Endpoints until it can serve. Never point liveness at a shared dependency."
Kubernetes,junior,"In Kubernetes, requests vs limits","requests = scheduler reservation and (for CPU) baseline share. limits = runtime cap (CPU throttle, memory OOMKill). A pod with no request can be packed tightly and then starved."
Kubernetes,junior,"In Kubernetes, rolling update: maxSurge vs maxUnavailable",maxSurge = extra new pods allowed above desired. maxUnavailable = how many can be down. Together they bound capacity during a Deployment rollout.
Kubernetes,junior,"In Kubernetes, what CrashLoopBackOff is telling you","The container keeps dying after start (bad config, missing secret, failed liveness, OOM). kubelet restarts with exponential backoff. Inspect previous logs, exit code, and events — it is not a pending/schedule problem."
Kubernetes,junior,"In Kubernetes, what a PDB actually blocks","Voluntary disruptions (drain, eviction API) that would take ready pods below minAvailable / exceed maxUnavailable. Not node crashes, OOM, or failed liveness."
Kubernetes,junior,"In Kubernetes, why :latest (or any mutable tag) is unsafe","The name does not pin a digest. Nodes may run different bits, rollbacks are lies, and IfNotPresent may never pick up the 'new latest.' Pin digest or immutable tags."
Kubernetes,junior,"In Kubernetes, why pin image digests or immutable tags?",":latest means 'whatever we pulled last'. Different nodes can run different bytes, and you cannot roll back to a known artifact. Production should ship a digest or an immutable version tag."
MySQL,junior,"In MySQL, how can REPEATABLE READ still surprise you with phantom-like behavior?","Plain SELECTs use a consistent MVCC snapshot and do not lock gaps. Mixing snapshot reads with later writes, or assuming RR is SERIALIZABLE, lets concurrent inserts change outcomes you thought were frozen."
MySQL,junior,"In MySQL, what is a gap lock and why does it block inserts of keys that do not exist yet?","Under REPEATABLE READ, next-key locking locks the record and the gap before it so no one can insert into a scanned range. That prevents phantoms for locking reads, but concurrent inserts into those gaps wait or deadlock."
MySQL,junior,"In MySQL, when is a covering secondary index worth the extra write cost?","When a frequent query can be satisfied from the secondary leaf alone, you avoid a clustered lookup per row. You pay for maintaining another tree on every write, so it should match a real hot path, not every column you might select."
MySQL,junior,"In MySQL, why are some ALTERs 'online' and others a table rebuild?","INSTANT/INPLACE changes that are metadata-only or can build a secondary index without copying the clustered table avoid a full rewrite. Changing types or some nullability still rebuilds rows, copies the table, and blocks or lags more."
MySQL,junior,"In MySQL, why can replica reads be wrong even when the replica is 'up'?","Async replication applies the primary's binlog with lag. A client that writes on the primary and immediately reads a random replica can miss its own write. Read-your-writes needs the primary, a session-consistent replica, or a lag check."
MySQL,junior,"In MySQL, why can statement-based replication diverge while row-based does not?","SBR re-executes SQL on the replica, so non-deterministic functions, different optimizer choices, or data drift produce different rows. RBR ships row images, so the replica applies the same changes at higher binlog volume."
MySQL,junior,"In MySQL, why does replica lag often jump when a long source transaction commits?","The source writes the transaction to the binlog at commit, then the replica fetches and applies a burst of events. During the open transaction the replica can look caught up even though a large apply queue is about to arrive."
MySQL,junior,"What does the InnoDB buffer pool cache, and what happens when it is too small?","It caches data and index pages (and related structures). If the working set misses, you pay disk reads and dirty-page flushes. Size it for clustered leaves plus the secondary indexes your workload actually touches."
MySQL,junior,Why does an InnoDB secondary index lookup often do two B-tree searches?,"The clustered primary-key tree holds the row. A secondary index stores the PK columns, not the full row. After finding the secondary entry, InnoDB looks up the PK to fetch remaining columns — unless the secondary index already covers the query."
MySQL,junior,Why is InnoDB's primary key the table?,Rows live in the clustered B+tree ordered by the PK. Secondary indexes store the PK as the locator and then look up the clustered row. A random or very wide PK therefore slows inserts and inflates every secondary index.
PostgreSQL,junior,"In PostgreSQL, how does a HOT update avoid touching indexes?","If indexed columns are unchanged and the new version fits on the same heap page, PostgreSQL links a heap-only tuple and leaves index pointers at the old line pointer. No free space or an indexed-column change forces a non-HOT update and index WAL."
PostgreSQL,junior,"In PostgreSQL, what does WAL give you, and what does a CHECKPOINT change about crash recovery?",WAL records every change so a crash can redo work since the last consistent point. A checkpoint flushes dirty pages so older WAL can be recycled. Larger gaps between checkpoints speed normal writes but lengthen recovery.
PostgreSQL,junior,"In PostgreSQL, what does partition pruning need in order to actually reduce I/O?","The query must constrain the partition key with a planner-visible predicate (not hidden in a wrapper). Otherwise every partition is opened and planned, which can be slower than an unpartitioned table."
PostgreSQL,junior,"In PostgreSQL, what does synchronous_commit = off actually risk?","COMMIT returns before WAL is flushed to disk. After a crash, recently 'committed' transactions can vanish. You trade durability of the last moments of writes for lower COMMIT latency on data you can afford to lose."
PostgreSQL,junior,"In PostgreSQL, what is the practical difference between session pooling and transaction pooling?","Session pooling keeps session state (SET, prepared statements, WITH HOLD cursors) on one backend. Transaction pooling returns the backend at COMMIT, which multiplies capacity but breaks anything that assumes session affinity."
PostgreSQL,junior,"In PostgreSQL, when does a btree index help a query, and when does it hurt?","It helps when the predicate is selective and avoids reading most heap pages. It hurts when it matches a large fraction of the table, adding random I/O on top of a cheaper sequential heap read, and it always adds write and vacuum cost."
PostgreSQL,junior,"In PostgreSQL, why can a single idle-in-transaction session block autovacuum cleanup?","VACUUM cannot remove tuple versions still visible to any running snapshot. An old idle transaction holds back xmin, so dead rows pile up, tables bloat, and query plans degrade until that session ends."
PostgreSQL,junior,"In PostgreSQL, why write WAL before the heap?","Durability is 'the log hit disk', not 'the table file is up to date'. After a crash PostgreSQL can replay WAL and reconstruct committed changes. Putting WAL on drowning-slow storage, or skipping fsync, trades that durability away."
PostgreSQL,junior,Why does PostgreSQL MVCC make UPDATEs create a new heap tuple instead of overwriting in place?,Concurrent snapshots must still see the old row version until their xmin/xmax visibility rules allow the new one. Overwriting would make readers observe uncommitted or future states. The cost is dead tuples that VACUUM must later reclaim.
PostgreSQL,junior,Why don't readers block writers under PostgreSQL MVCC?,Each transaction sees a snapshot of row versions. A writer creates a new version instead of overwriting the bytes a reader is using. The cost is dead versions: VACUUM (and related freeze work) must reclaim them or tables bloat and XID wraparound becomes a risk.
Python,junior,"In Python, what does the GIL actually serialize?","Bytecode execution in CPython. It does not magically make your data structures thread-safe, and it does not prevent I/O from overlapping. CPU-bound pure-Python needs processes or a native extension that releases the GIL; I/O-bound work can still benefit from threads or asyncio."
Python,junior,"In Python, when should you use `is`?","Identity: None, sentinels, and 'is this the same object'. Not for string/int equality. Interning makes `is` accidentally work in demos and fail in production."
Python,junior,"In Python, why are mutable default arguments shared?","Defaults are evaluated once, when the function is defined, and stored on the function object. A default list or dict is therefore the same object on every call. Use `None` and allocate inside the function."
Python,junior,"In Python, why is a generator not a list?","It produces values as you iterate and then is spent. You cannot rewind it or ask its length cheaply. If two consumers need the data, materialize a list or recreate the generator."
Redis,junior,"In Redis, KEYS vs SCAN?",KEYS * blocks the single thread over the whole keyspace. SCAN iterates incrementally and is the production-safe way to walk keys.
Redis,junior,"In Redis, RDB vs AOF in one thought.","RDB is a point-in-time snapshot: fast restart, can lose everything since the last save. AOF appends every write and can be fsynced more often, at a cost in disk and rewrite work. Many production setups use both."
Redis,junior,"In Redis, RDB vs AOF?","RDB: compact point-in-time snapshot, more potential loss since last save. AOF: logs writes for a tighter durability window, more disk work. Often combined."
Redis,junior,"In Redis, what are cluster slots?",The keyspace is split into hash slots owned by nodes. A key lives in one slot. Multi-key ops need the same slot (hash tags like {userId}).
Redis,junior,"In Redis, what does a TTL actually guarantee?",The cache entry may go away. It is not a business delete in the source of truth and not a durability mechanism.
Redis,junior,"In Redis, what is a cache stampede?","Many clients miss the same expired/hot key at once and all hit the origin. Mitigate with single-flight, stale-while-revalidate, and jittered TTLs."
Redis,junior,"In Redis, what is eviction?","When maxmemory is hit, Redis drops keys by policy (allkeys-lru, volatile-lru, LFU, noeviction, …). A SET can succeed now and still disappear later."
Redis,junior,"In Redis, why can one slow command stall every client?","The core command loop is single-threaded. A O(N) KEYS, a huge sort, or a big Lua script owns that thread until it finishes. Other connections wait. Use bounded operations, SCAN, and complexity-aware data structures."
Redis,junior,What does Redis's single-threaded command loop imply?,"One slow or O(N) command blocks other clients on that process. More connections ≠ more cores. Avoid KEYS, huge values, and heavy aggregates on the hot instance."
Redis,junior,Why is Redis not the source of truth?,Memory + eviction + async replicas + snapshot/AOF gaps mean data can vanish. Persist business state in a database; Redis holds a speed copy.
Spring Boot,junior,"In Spring Boot, what is the Open Session in View footgun?","The persistence context (and usually the JDBC connection) stays open while the view renders. Lazy associations become hidden queries on the request thread, N+1 shows up in production, and pool connections are held during template rendering."
Spring Boot,junior,"In Spring Boot, why can @Transactional on a self-call do nothing?","Spring puts the advice on a proxy. `this.other()` is a direct Java call, so no proxy, no transaction, no rollback. Move the method to another bean or self-inject the proxy if you truly need the inner boundary."
AI Agents,senior,Collapse the agent to a workflow,"When traces show a stable path, encode the path. Reserve free-form steps for genuine uncertainty."
AI Agents,senior,"For AI agents, hard constraints in the graph","Ordering, approvals, and forbidden tools belong in the state machine. Prompts cannot be the only lock on a side effect."
AI Agents,senior,"For AI agents, how do you retry a tool with side effects?","The same way you retry a payment API: idempotency keys and a store you trust. Timeouts are not negatives. The agent must pass a stable key, or you wrap the tool so it does."
AI Agents,senior,"For AI agents, idempotency keys","Timeouts and retries must not double-apply payments, emails, or tickets. The tool contract includes “same key, same effect.”"
AI Agents,senior,"For AI agents, nested budgets",Run budget > sum of tool timeouts. Per-tool timeout < remaining run time. Token budget includes observations. Fail closed.
AI Agents,senior,"For AI agents, observations steer the loop","The next action is conditioned on tool output. Truncation, injection in results, or silent coercion will be planned over as if true."
AI Agents,senior,"For AI agents, tool blast radius","Scope by resource, verb, and environment. Separate read from write. Never hand production-admin APIs to a general chat agent."
AI Agents,senior,"For AI agents, trace-driven eval","Grade trajectories: illegal transitions, wasted steps, schema errors, budget hits—not only final answer text."
AI Agents,senior,"For AI agents, write policy for memory","Who writes episodic vs semantic memory, with what TTL, and what is in-context scratch. Unbounded writes become prompt injection and cost."
AI Agents,senior,When is a state machine + LLM better than a free agent?,"When legal/ops requires that certain tools only run in certain states (refund after verify, deploy after tests). The LLM fills slots or classifies; the machine owns transitions."
AWS & S3,senior,"In AWS / S3, FIFO SQS vs skipping idempotency?",FIFO orders a group and dedupes in a window. Downstream side effects can still run twice. Design retries on purpose.
AWS & S3,senior,"In AWS / S3, what is a DLQ for?",Poison messages that fail repeatedly. Isolate them instead of blocking the queue or pretending delivery was exactly-once.
AWS & S3,senior,"In AWS / S3, what must SQS consumers implement?","Idempotency. Visibility timeout expiry and at-least-once delivery mean the same message can be processed twice. A dedupe table or conditional write is part of the consumer, not an optional extra."
AWS & S3,senior,"In AWS / S3, when are cold storage classes a bad fit?",When objects are read or overwritten with tight latency. Retrieval delay and cost dominate; keep hot data on a hot class or a database.
AWS & S3,senior,"In AWS / S3, why a manifest object?",The bucket is not an index. You explicitly store the list of parts/files you would have queried if this were a database.
AWS & S3,senior,"In AWS / S3, why batch events into columnar files for a data lake?",Analytics engines want reasonably sized files and partitions. One-tiny-file-per-event explodes LIST/GET cost and planning time.
AWS & S3,senior,"In AWS / S3, why isn't LIST a job queue?","Listing millions of keys is paginated, easy to duplicate, and costs request money. You will also miss or double-process on eventual listing of fresh objects. Emit an event per object (SQS) or write a manifest."
AWS & S3,senior,Lambda PUT to S3 then timeout before SQS delete — what must be true?,"Replay will happen. Object keys and side effects must be idempotent (deterministic keys, version ids, upserts)."
AWS & S3,senior,S3 ETag / If-Match gives you what — and not what?,"Optimistic concurrency on one key. Not multi-object transactions, not a row store, not a lock service."
AWS & S3,senior,S3 event notifications can duplicate. What do you dedupe on?,Object key plus version/etag (or a business event id). Treat notifications like at-least-once queue messages.
B-tree & LSM,senior,B-tree WAL vs LSM WAL: what is each protecting?,B-tree WAL (or equivalent redo) protects in-place page mutations until checkpoint. LSM WAL protects memtable contents until they are flushed to an SSTable and that file is durable.
B-tree & LSM,senior,"For B-trees and LSM trees, for update-heavy small key sets on LSM, what dominates cost?",Compaction keeps rewriting the same hot keys and their old versions. You pay write amp and tombstone/version churn even though the logical dataset is tiny.
B-tree & LSM,senior,"For B-trees and LSM trees, how do leveled vs size-tiered compaction typically trade amplification?","Leveled keeps key ranges disjoint per level, lowering read/space amp but rewriting more (higher write amp). Size-tiered/universal merges similar-sized files, writing less often but leaving more overlap for reads and scans."
B-tree & LSM,senior,"For B-trees and LSM trees, what causes an LSM write stall?","Ingest outruns flush/compaction: too many memtables or L0 files. The engine throttles or blocks writers until compaction makes room, even if user-thread CPU is idle."
B-tree & LSM,senior,"For B-trees and LSM trees, what is LSM write amplification?","Each key may be rewritten as compaction moves it through levels. You bought sequential ingest and paid extra disk I/O later. Tuning level size, compaction strategy, and reducing churn/tombstones is how you keep amplification in check."
B-tree & LSM,senior,"For B-trees and LSM trees, what is space amplification in an LSM?","Live data plus obsolete versions, tombstones, and temporary extra copies during merge. It stays high until compaction installs the new file and drops the old ones."
B-tree & LSM,senior,"For B-trees and LSM trees, when do bloom filters stop helping?",On wide range scans (files overlap the range anyway) and when the false-positive rate is so high that you still open most SSTables. They help negative point lookups most.
B-tree & LSM,senior,"For B-trees and LSM trees, why do tiny frequent flushes hurt later reads?","They create many overlapping SSTables. Point gets and especially range scans fan out across more files, and compaction must later rewrite that mess."
B-tree & LSM,senior,"For B-trees and LSM trees, why don't Bloom filters save LSM range scans?",A Bloom filter answers 'might this file contain this exact key?'. A range is many keys. You still have to merge overlapping runs. Range-heavy workloads often prefer B-trees for that reason.
B-tree & LSM,senior,Why can a cached B-tree still beat LSM on point gets?,"Internal nodes stay in RAM, so a hit is often one leaf I/O. LSM may still miss on several per-file filters/indexes unless those are also cached and blooms are sharp."
C++,senior,"In C++, what does copying shared_ptr cost?","An atomic increment/decrement on the control block, plus poorer locality. If you don't need shared ownership, unique_ptr or a reference is cheaper and clearer."
C++,senior,"In C++, why is a data race UB, not 'a torn int'?","The C++ memory model gives no meaning to concurrent non-atomic conflicting accesses. Compilers assume it does not happen and may delete checks or reorder around it. Use atomics or a mutex; don't 'just read it, it's one word'."
