Section,Level,Question,Option A,Option B,Option C,Option D,Correct Answer
AWS & S3,junior,"A pipeline writes 10 million 1 KB files to S3 per day. Besides storage bytes, what usually dominates cost and pain?",Request (PUT/LIST) charges and slow LIST/rename patterns; many tiny objects are a request-tax design.,"S3 minimum object size is 128 MB, so 1 KB files are rejected.",ETag computation requires an EC2 instance per object.,"Tiny files cannot be encrypted, so KMS becomes the bottleneck.",A
AWS & S3,junior,"In AWS / S3, SNS fan-out to multiple SQS queues is useful when:",You need exactly-once across all consumers without idempotency,Several independent workers should each see the event; each queue still delivers at-least-once,S3 becomes a relational store,Prefix hotspots go away,B
AWS & S3,junior,"In AWS / S3, SQS standard queues are at-least-once. Your consumer must:",Assume each message is processed exactly one time,Be idempotent; the same message can be delivered more than once,Use S3 listing as the lock,Disable checksums,B
AWS & S3,junior,"In AWS / S3, a PUT of a new object should include integrity protection by:",Memorizing a durability percentage,Sending a checksum and verifying it on read; copies plus checksums are the durability story,Using sequential prefixes,Storing only in one AZ in the app,B
AWS & S3,junior,"In AWS / S3, durability of an object is achieved by:",A published SLA number you should memorize as the design,Storing multiple copies and verifying checksums so bit rot and disk loss do not silently win,Keeping one copy in the client's browser,Using SQS as the disk,B
AWS & S3,junior,"In AWS / S3, listing a bucket with millions of keys as your 'index' is a bad database because:",List is transactional,"List is paginated, costly, and not a query planner; you needed a real index or a manifest object",List returns at-most-once keys,List evicts objects,B
AWS & S3,junior,"In AWS / S3, millions of tiny files (few KB each) get expensive and slow mainly because:",S3 forbids small objects,You pay per request and listing/metadata work dominates; throughput is not 'one disk sequential read',Checksums fail under 1MB,Prefixes cannot hold small keys,B
AWS & S3,junior,"In AWS / S3, old-style keys like 2024-01-01/log1, 2024-01-01/log2 created prefix hotspots because:",Dates are invalid key characters,Many clients hammered the same key prefix/partition at once instead of spreading request load,S3 cannot store dates,Checksums collide on dates,B
AWS & S3,junior,"In AWS / S3, visibility timeout on SQS exists so that:",Messages become source of truth in S3,"Other consumers hide the message while one works; if you crash, it reappears (at-least-once)",Duplicates are impossible,Prefixes spread automatically,B
AWS & S3,junior,"In AWS / S3, why spread entropy in the key (or a hash prefix) for high QPS ingest?",To make listing impossible,To avoid concentrating request rate on one logical prefix as the workload scales,To disable checksums,To force at-most-once SQS,B
AWS & S3,junior,Putting a database dump on S3 is backup. Using S3 as the live order table is wrong because:,S3 cannot store bytes,"You lack cheap conditional updates, queries, and low-latency item access as a primary OLTP store",Checksums disable writes,Buckets cannot be private,B
AWS & S3,junior,S3 is the wrong place to implement 'query users where lastLogin > X' because:,Objects cannot store JSON,"It is an object store: get-by-key, not a query engine with secondary indexes and predicates",S3 deletes data after one day,Prefixes are strongly transactional,B
AWS & S3,junior,S3 read-after-write for new objects is strongly consistent now. That still does not make S3 a database because:,Consistency was the only missing SQL feature,"You still have no rich queries, joins, or cheap partial updates — only object I/O",Checksums became optional,Prefixes became transactions,B
AWS & S3,junior,Small-file problem on S3 is often fixed by:,One object per database cell,Batching many logical records into larger objects (and maybe a real database for metadata),Shorter prefixes only,Disabling checksums,B
AWS & S3,junior,Updating a 'row' in S3 means:,A SQL UPDATE of one field,Replace the whole object (or write a new version); there is no in-place field update,A strongly consistent multi-object transaction by default,A Scan of the bucket,B
AWS & S3,junior,Why is S3 a poor substitute for a database when you need atomic updates to a JSON blob 100 times a second?,S3 objects are immutable versions; concurrent writers last-write-win and you have no transactions or secondary indexes.,"S3 cannot store JSON, only images.","S3 strongly consistent GET still serializes all writes through one global lock, so it is slower but correct.",S3 will automatically turn the object into DynamoDB after 100 writes.,A
AWS & S3,junior,You put millions of objects under the prefix `logs/2026-09-05/` and request rates spike. What S3 behavior should you design for?,S3 has no prefix performance; only bucket name matters.,Very hot prefixes can be rate-limited until S3 scales the keyspace; spread keys (or wait for scaling) rather than hammer one timestamp prefix.,S3 will shard by file extension automatically.,You must enable Transfer Acceleration or all PUTs fail.,B
B-tree & LSM,junior,A service inserts keys uniformly at random. Why does a classic B-tree usually pay more disk writes per insert than an LSM tree?,"Each insert can dirty a leaf page (and maybe split), forcing an in-place random page write",B-trees rewrite the entire tree on every insert,LSM trees never fsync and therefore never write,B-trees store every key in two copies by design,A
B-tree & LSM,junior,A workload is almost all point lookups and short range scans with in-place updates. Why is a B-tree usually the better default than an LSM tree?,"B-trees never write more than one page, so they have zero write amplification.",A B-tree keeps keys ordered on pages you can update in place and scan sequentially; LSM pays compaction and extra reads across levels.,LSM trees cannot store secondary indexes.,"B-trees do not need a WAL, which removes fsync from the picture.",B
B-tree & LSM,junior,"An LSM tree absorbs writes into a memtable and WAL, then flushes sorted runs. What problem is compaction solving?",It encrypts old runs so they can be deleted from the WAL.,"It merges overlapping sorted runs so reads do not have to search an ever-growing number of files, and it reclaims space from obsolete keys.",It converts the LSM into a B-tree once the dataset fits in RAM.,It is only used to build secondary indexes; primary key reads skip it.,B
B-tree & LSM,junior,"For B-trees and LSM trees, a bloom filter returns a false positive for a missing key. What is the user-visible effect?",The engine returns a wrong value,An extra index/data read of that SSTable that then correctly reports the key absent,On-disk data is corrupted,Compaction starts immediately,B
B-tree & LSM,junior,"For B-trees and LSM trees, after a crash, how is a lost memtable reconstructed?",Replay the WAL to rebuild in-memory state,Scan every SSTable for the newest key,Rebuild it from bloom filters,It cannot be recovered; those writes are gone,A
B-tree & LSM,junior,"For B-trees and LSM trees, on an LSM point lookup, what does a bloom filter actually tell you?",The exact file offset of the key,"The key is definitely not in this SSTable, or it might be",Which compaction level owns the key,Whether the memtable is full,B
B-tree & LSM,junior,"For B-trees and LSM trees, what does read amplification usually mean for an LSM point get?",Bytes written per user write,How many disk reads or files you may touch to serve one user read,The size of the WAL in bytes,How many replicas must answer,B
B-tree & LSM,junior,"For B-trees and LSM trees, what happens when a memtable fills under normal LSM operation?",The process blocks until the next restart,"It is frozen, flushed as an immutable SSTable, and a new memtable takes writes",All older SSTables are deleted immediately,The WAL is discarded before the flush finishes,B
B-tree & LSM,junior,"For B-trees and LSM trees, what is the memtable + WAL pair actually buying you in an LSM store?",Faster range scans than reading SSTables,A durable crash-recovery log plus a sorted in-memory buffer so acknowledged writes survive a crash,A replacement for compaction,A way to skip bloom filters on point lookups,B
B-tree & LSM,junior,"For B-trees and LSM trees, why does making flushed SSTables immutable matter for concurrency?",Old files can still be mutated in place,Readers can use a file lock-free while a new file is being written elsewhere,The WAL can be skipped,The memtable can grow without bound,B
B-tree & LSM,junior,"For B-trees and LSM trees, why might a single LSM point lookup inspect several SSTables?",Keys are hashed into random files with no order,The newest version of a key can live in any of several files produced over time,Bloom filters require reading every file,The WAL must be scanned on every lookup,B
B-tree & LSM,junior,What is compaction's main job in an LSM engine?,Increase write amplification for its own sake,"Merge SSTables, drop obsolete versions and tombstones, and bound how many files a read must check",Turn the LSM tree into a B-tree,Disable the WAL after the first flush,B
B-tree & LSM,junior,Why are LSM range scans of a key span often heavier than the same scan on a B-tree?,LSM trees cannot iterate keys in sorted order,You must merge iterators across the memtable and many overlapping SSTables,Range scans always replay the WAL,Bloom filters block sequential access,B
B-tree & LSM,junior,Why can LSM ingest a flood of random keys faster than a B-tree of similar durable settings?,User writes append to WAL and memtable instead of randomly updating leaf pages,LSM engines never fsync,B-trees cannot store random keys,Compaction is free and instantaneous,A
B-tree & LSM,junior,Why do B-trees typically win on short range scans of nearby keys?,"Leaf pages keep keys in sorted on-disk order with little file overlap, often with sibling links",They never split pages,They attach a bloom filter to every leaf,They keep all data only in memory,A
B-tree & LSM,junior,Why do LSM engines almost always put a Bloom filter in front of each SSTable?,To compress keys so SSTables fit in RAM.,"To skip files that definitely do not contain a key, cutting read amplification on point lookups.",To make range scans O(1).,To replace the WAL for crash recovery.,B
B-tree & LSM,junior,Write amplification in an LSM tree is dominated by which activity?,Bloom-filter false positives,Rewriting the same live data again during compaction,B-tree page splits,Replica count in the cluster,B
C++,junior,"In C++, `std::move` on a local then using it again — what is actually true?",move guarantees the object is empty and safe to read as 0.,The object is in a valid but unspecified state; using it without reassignment is a logic bug.,move copies if the type has a destructor.,move is a runtime memcpy of the bytes only.,B
C++,junior,"In C++, a `std::vector<bool>` is returned and you take a reference to an element. Why is this type a famous trap?",vector<bool> is a bit-packed proxy; references/pointers to elements are not real bool&.,bool cannot live in a vector.,vector<bool> is faster and always the right default.,It is the only vector that does not reallocate.,A
C++,junior,"In C++, when should you prefer `unique_ptr` over `shared_ptr`?",Always use shared_ptr; unique_ptr cannot be returned from functions.,When one owner is enough: unique_ptr is cheaper (no control block/atomics) and makes ownership obvious.,"unique_ptr cannot hold arrays, so shared_ptr is required for buffers.",shared_ptr is always lock-free and therefore faster.,B
C++,junior,"In C++, why is RAII (owning a resource in an object whose destructor releases it) the default answer to leaks and lock-forget bugs?","Destructors run on every control-flow exit from the scope, including exceptions, so release is tied to lifetime.",The compiler inserts garbage collection for RAII types.,"RAII disables exceptions, so you cannot forget a catch.",new/delete become undefined if any class has a destructor.,A
C++,junior,"In C++, why is `std::string_view` pointing at a temporary `std::string` a dangling-view bug?","string_view copies the characters, so it cannot dangle.",string_view does not own the buffer; when the temporary dies the view is invalid.,Temporaries live until the process exits.,string_view is illegal on temporaries and will not compile.,B
C++,junior,"In C++, you `new` an object and `delete` it in some return paths but not after an early `return` on error. What is the RAII alternative?",Wrap the pointer in unique_ptr so the destructor deletes on every exit path.,Add more comments on the delete.,Use a raw pointer and a finally keyword.,Disable exceptions so early returns cannot happen.,A
C++,junior,"In C++, you compile without `-Wall` and ignore a `return` missing on one path. What class of bug is that?",A style issue with defined behavior (returns 0).,Undefined behavior: falling off a non-void function.,The compiler inserts throw.,"C++ requires all paths to return, so this cannot compile.",B
C++,junior,"In C++, you include a using-directive `using namespace std;` in a header. Why is that a problem?",std cannot be used in headers.,"Every translation unit that includes it gets std dumped into the global namespace, causing name clashes.",It disables ADL.,Headers cannot have using-declarations of any kind.,B
C++,junior,"In C++, you store pointers to vector elements, then `push_back` until capacity grows. What happened?",Pointers remain valid because vector is contiguous.,Reallocation invalidates pointers/iterators into the old buffer (undefined behavior if you use them).,"vector is a linked structure, so pointers always stay valid.",push_back is illegal while pointers exist; it will not compile.,B
Cassandra,junior,"In Cassandra, LWTs (lightweight transactions / IF clauses) are expensive mainly because they…",Skip the commit log,Run a Paxos-style round of agreement instead of a regular quorum write,Store extra bloom filters,Disable compaction,B
Cassandra,junior,"In Cassandra, RF=3 and you write with CL=ONE. A client then reads with CL=ONE from a different replica. What can happen?",The read is guaranteed to see the write because ONE always hits the leader.,"The read may miss the write: ONE only waits for one replica, which might not be the one that stored the write yet.",Cassandra will block the read until all replicas have the write.,CL=ONE automatically upgrades to QUORUM for the next read.,B
Cassandra,junior,"In Cassandra, if RF=3 and you choose CL=ALL, what availability tradeoff did you make?",You can tolerate one replica down,"Any one replica down makes the request fail, in exchange for seeing all copies",Writes become local-only,Hints are no longer stored,B
Cassandra,junior,"In Cassandra, replication factor (RF) vs consistency level (CL): which statement is accurate?",RF is how many replicas store a partition; CL is how many replicas must respond for this read or write,They are the same setting with two names,CL decides where data is stored; RF decides how many acknowledgements you wait for,RF only applies to reads; CL only applies to writes,A
Cassandra,junior,"In Cassandra, the coordinator node in a write path is responsible for…",Storing the only copy of the data,Sending the mutation to the replica set and waiting for CL acknowledgements,Choosing a new partition key,Running repair before every write,B
Cassandra,junior,"In Cassandra, what do clustering columns control?",Which datacenter gets the write,Sort order of rows within a partition on disk and in queries,The replication factor,Whether hinted handoff is enabled,B
Cassandra,junior,"In Cassandra, what does repair (anti-entropy) try to fix?",Hot partitions by splitting tokens automatically,"Replicas that have diverged because of missed writes, downtime, or missed hints",The need for a partition key,Tombstone creation,B
Cassandra,junior,"In Cassandra, what is hinted handoff for?",Speeding up range scans,"The coordinator stores a hint when a replica is down, then replays it when the replica returns",Choosing the partition key,Replacing anti-entropy repair entirely,B
Cassandra,junior,"In Cassandra, why is a full-table scan (ALLOW FILTERING / unbounded partition scan) a junior anti-pattern?",Cassandra cannot read more than one row,Data is partitioned by token; a cluster-wide scan fans out and can overwhelm many nodes,QUORUM forbids scans,Tombstones cannot be read,B
Cassandra,junior,"In Cassandra, why should a partition not grow without bound (wide partition)?",Clustering order breaks after a few rows,"Compaction, repair, caching, and reads of that partition concentrate work on one token and huge SSTable pieces",RF becomes 1 automatically,QUORUM cannot count replicas for wide partitions,B
Cassandra,junior,"In Cassandra, with RF=3, what does a QUORUM write mean?",All 3 replicas must acknowledge,At least 2 replicas must acknowledge (majority of RF),Only the coordinator stores the write,Exactly 1 replica must acknowledge,B
Cassandra,junior,"In Cassandra, you need to fetch a user's last 100 events in time order. How should that be modeled?","Partition key = event id, so every event is its own partition for even load.","Partition key = user id, clustering key = event time, so one partition holds an ordered slice you can range-read.",A single partition for the whole table named `events` so ORDER BY always works globally.,Store events in a Cassandra collection column and let CQL sort them at query time across nodes.,B
Cassandra,junior,"In Cassandra, you write at CL=ONE and later read at CL=ONE. Why might you miss your own write?",Cassandra never reads your own writes,The read may hit a replica that has not received the write yet,ONE always waits for all replicas,Tombstones block all reads at ONE,B
Cassandra,junior,What does the partition key actually control in Cassandra?,The on-disk sort order of rows inside a partition,Which node(s) own the data: it hashes to a token and thus a replica set,The consistency level of the query,Whether a bloom filter is used,B
Cassandra,junior,What is a tombstone in Cassandra?,A backup of a deleted SSTable,A deletion marker that must be stored and compacted away later so old values do not resurrect,A hint stored on a coordinator,A repair session identifier,B
Cassandra,junior,Why can a hot partition ruin a Cassandra cluster even when total QPS looks modest?,"One token/partition is owned by a small replica set, so those nodes take all the load for that key",Cassandra cannot store large partitions,QUORUM is disabled for hot keys,Bloom filters stop working on busy nodes,A
Cassandra,junior,Why is DELETE in Cassandra not the same as 'the row is gone now'?,Deletes are stored as tombstones and kept until gc_grace so repair does not resurrect the row.,Cassandra cannot delete; you can only TTL the whole table.,"DELETE drops the SSTable file immediately, which is why deletes are fast.",Deletes require a QUORUM of all clusters worldwide.,A
Data Structures & Algorithms,junior,"In data structures and algorithms, DFS vs BFS for 'does a path exist in a huge, deep, narrow maze if you are memory-constrained'?","DFS uses stack proportional to depth, which can be smaller than BFS's frontier in a wide graph — but it can also go infinitely deep without extra guards",BFS always uses less memory than DFS,They use identical memory on every graph,Only union-find can test connectivity,A
Data Structures & Algorithms,junior,"In data structures and algorithms, a Bloom filter says 'this user id is not in the set.' What can you conclude?","It is definitely not in the set — Bloom filters have false positives, not false negatives (for a static membership filter)",It might still be in the set; negatives are probabilistic,You must re-hash with a tree to confirm negatives,The filter is corrupted whenever it says no,A
Data Structures & Algorithms,junior,"In data structures and algorithms, a Bloom filter says 'yes, this email was seen.' You skip sending. Risk?","False positive — you may skip a never-seen email; if skips are costly, store a real set or a cache in front of source of truth",False negative — Bloom filters invent missing emails,Union-find will correct it on the next hop,LRU will convert the maybe into a no,A
Data Structures & Algorithms,junior,"In data structures and algorithms, a Bloom filter says a user id is 'not present'. How should you treat that?",It might be a false negative; check the database anyway.,"Trust it: Bloom filters have false positives, not false negatives (for the items actually inserted).","It is a cache, so 'not present' means 'evicted', not 'absent'.","Bloom filters only work for strings, not ids.",B
Data Structures & Algorithms,junior,"In data structures and algorithms, an LRU cache is hit on every request for a hot key. What must the structure do in O(1) expected time?","Hash map to the node plus a recency list (or equivalent) so lookup, move-to-front, and eviction of the tail are cheap",Scan the whole array to find the oldest timestamp,Rebuild a heap from scratch on every hit,BFS the keyspace,A
Data Structures & Algorithms,junior,"In data structures and algorithms, consistent hashing places both keys and nodes on a ring. A node dies. What should happen to its keys?","They move to the next node(s) on the ring (or to replicas), not to a random reshuffle of the whole keyspace",Every key is rehashed with % (N-1),A Bloom filter deletes the node,LRU evicts all keys cluster-wide,A
Data Structures & Algorithms,junior,"In data structures and algorithms, why do textbook linked-list queues often lose to a ring buffer of the same logical operations on real hardware?","Each node is a separate allocation; pointer chasing misses cache and TLB, while a contiguous buffer hits cache lines and prefetches",Linked lists have worse big-O for enqueue than arrays in the RAM model,CPUs cannot follow pointers at all,The kernel refuses to allocate list nodes,A
Data Structures & Algorithms,junior,"In data structures and algorithms, why is a linked list usually the wrong 'insert in the middle is O(1)' answer on real hardware?",Pointer chasing destroys cache locality; an array/vector often wins even if Big-O looks worse.,Linked lists cannot insert in the middle.,The OS forbids heap-allocated nodes in user space.,CPUs execute linked-list code in O(n^2) regardless of length.,A
Data Structures & Algorithms,junior,"In data structures and algorithms, you add a cache node and want existing keys to mostly stay put. Why not hash(key) % N?",Changing N remaps almost every key; consistent hashing (or Rendezvous) moves only a ~1/N fraction,"Modulo is cryptographically unsafe, so caches reject it",% N cannot be computed for strings,Heaps cannot store the modulus,A
Data Structures & Algorithms,junior,"In data structures and algorithms, you have n chat rooms and union operations 'merge these two rooms' plus 'are these users in the same room?' Which structure?",Union-find (disjoint-set) with path compression / union by rank,A max-heap of room ids,BFS from user 0 on every query,A Bloom filter of pairs,A
Data Structures & Algorithms,junior,"In data structures and algorithms, you iterate a large array of structs vs a linked list of the same structs, summing one field. Why is the array usually much faster?",Sequential access prefetches; the list jumps to heap allocations that evict useful cache lines,Arrays have better big-O for a linear scan than lists,Linked lists cannot store structs,The compiler forbids summing list nodes,A
Data Structures & Algorithms,junior,"In data structures and algorithms, you need 'get user by id' at huge QPS, ids are arbitrary strings, no range queries. Which shape fits the workload?","Hash table (average O(1) point lookup) — a tree adds comparison overhead you do not need, a heap is not a dictionary","Binary heap, because it always stores the minimum id on top","Linked list, because pointers are faster than arrays","DFS forest, because ids form a graph",A
Data Structures & Algorithms,junior,"In data structures and algorithms, you need O(1) expected lookup by id and do not need ordered iteration. What is the default structure, and when does it bite you?",Balanced BST: lookups are O(1).,"Hash table: great until a bad hash, huge load factor, or you need range queries / sorted order.",Linked list: lookups are O(1) with a head pointer.,"Heap: find-min is O(1), so find-by-id is too.",B
Data Structures & Algorithms,junior,"In data structures and algorithms, you need the next job with the highest priority, repeatedly, while jobs arrive. Hash, tree, or heap?","Heap (priority queue) — extract-max/min is the operation; a hash has no order, an ordered tree can do it but with more overhead if you only need the extreme","Hash table keyed by priority, because priorities are unique",Singly linked list scanned from the head only,Bloom filter of finished jobs,A
Data Structures & Algorithms,junior,"In data structures and algorithms, you need the shortest number of hops in an unweighted graph (site crawler, maze). BFS or DFS?",BFS — the first time you reach a node is a minimum-hop path; DFS can dive down a long dead end first,DFS — recursion always yields shortest paths,"Either, because both visit the same nodes",A heap of random nodes,A
Data Structures & Algorithms,junior,"In data structures and algorithms, you sort a list of (name, score) by score descending with an unstable sort, then by name. What breaks?",People with the same name no longer keep score order from the first pass — the second key scramble depends on stability of the name sort,Unstable sorts cannot compare integers,Heaps cannot sort pairs,BFS will restore the score order,A
Data Structures & Algorithms,junior,"In data structures and algorithms, you sort invoices by date, then by customer, and you need all of one customer's invoices to stay in date order. What property do you need from the second sort?",Stability — equal keys (same customer) keep their previous (date) order,In-place partitioning,"That the sort is a heap sort, which is always stable",Bloom-filter uniqueness of dates,A
DynamoDB,junior,"In DynamoDB, a dashboard needs every order from last year with no known user or order id. Why is a table Scan usually the wrong first design?",Scan can only return one item,"Scan walks the whole table, burns read capacity on irrelevant items, and gets slower as data grows",Scan is strongly consistent and therefore forbidden,Scan cannot paginate,B
DynamoDB,junior,"In DynamoDB, a product table uses status as the partition key, and almost every item is ACTIVE. Writes start throttling even though table-level capacity looks unused. What is the real problem?",DynamoDB cannot store more than one item per partition key,A low-cardinality partition key funnels traffic onto too few partitions (hot keys),On-demand mode ignores partition keys,Sort keys are required for every write,B
DynamoDB,junior,"In DynamoDB, a single celebrity userId receives a huge fraction of likes. Adaptive capacity cannot fully save you because:",All items for one partition key still share that key's throughput ceiling,DynamoDB forbids popular keys,On-demand tables do not shard,GSIs ignore partition keys,A
DynamoDB,junior,"In DynamoDB, a table has a sharp weekday peak and near-zero nights. What capacity shape fits without overpaying all week?",Provisioned at the peak 24/7,"On-demand, or provisioned with auto scaling that tracks the daily curve",A global table in every region,A Scan instead of Query,B
DynamoDB,junior,"In DynamoDB, a table's partition key is `status` with values OPEN/CLOSED, and almost all traffic is OPEN. What goes wrong as you scale?",DynamoDB will reject the table because partition keys must be UUIDs.,"Most requests hash to the same partition (a hot key), so that shard throttles while others sit idle.","Global secondary indexes automatically rebalance the key, so nothing happens.",DynamoDB converts the table to a scan-optimized layout and latency improves.,B
DynamoDB,junior,"In DynamoDB, eventually consistent reads are the default because they:",Always return stale data,Cost less and are enough when the client can tolerate a brief lag after a write,Bypass partition limits,Are the only option for GetItem,B
DynamoDB,junior,"In DynamoDB, filter expressions on a Scan or Query run after capacity is consumed. What does that imply?",Filters are a substitute for a good key design,You still pay to read items that the filter later throws away,Filters make the operation strongly consistent,Filters avoid partition throttling,B
DynamoDB,junior,"In DynamoDB, high partition-key cardinality matters because:",DynamoDB only allows 10 distinct keys,"Many distinct, relatively even keys let the service spread load; a handful of keys cannot",Cardinality enables strongly consistent GSIs,Cardinality removes the 400KB limit,B
DynamoDB,junior,"In DynamoDB, on-demand vs provisioned capacity is mainly a statement about workload shape. Which pairing is right?","On-demand for spiky or unknown traffic; provisioned for steady, forecastable load",On-demand only for strongly consistent reads,Provisioned only for tables without sort keys,On-demand removes partition-key hotspots,A
DynamoDB,junior,"In DynamoDB, what does a well-chosen partition key actually control?",Which AWS region stores the table,How traffic is spread across storage partitions,Whether reads are strongly consistent,The maximum item size,B
DynamoDB,junior,"In DynamoDB, what is the practical difference between GetItem and Query?",GetItem needs the full primary key for one item; Query reads a partition (optionally a sort-key range),Query cannot use a sort key,GetItem always scans the table,They are identical if eventual consistency is on,A
DynamoDB,junior,"In DynamoDB, when should you choose a strongly consistent read over the default eventually consistent read?",Whenever you want cheaper reads,When the next decision cannot tolerate a replica that has not yet seen the latest write to that item,When reading from a global secondary index,When the item is larger than 400KB,B
DynamoDB,junior,"In DynamoDB, why do engineers treat the 400KB item size cap as a modeling constraint, not just a storage limit?",Larger items must be split across partitions automatically,"Every read and write moves the whole item, so fat items amplify latency, cost, and hot-partition risk",Secondary indexes cannot project attributes under 400KB,Transactions fail if any item is under 400KB,B
DynamoDB,junior,"In DynamoDB, why is Scan the wrong default for a user-facing request path?",Scan can only return one item per call.,Scan reads every partition; cost and latency grow with table size instead of with the result you need.,Scan is eventually consistent only and cannot be strongly consistent.,Scan is disabled once a table has a sort key.,B
DynamoDB,junior,"In DynamoDB, you know userId and want that user's orders in a time range. Which operation matches the data model?",Scan with a filter on userId,Query on partition key userId and a sort-key condition on timestamp,GetItem with only the timestamp,BatchWriteItem to read,B
DynamoDB,junior,Why store a profile photo URL (or S3 key) in DynamoDB instead of the image bytes?,URLs are the only string type DynamoDB allows,"Images blow past the item-size model, make every user read heavier, and turn a metadata store into blob storage",S3 cannot store images,Binary attributes are eventually consistent only,B
DynamoDB,junior,You need all orders for a customer in date order. Which key design matches how DynamoDB actually partitions data?,"Partition key = order id, sort key = customer id, then Query by customer.","Partition key = customer id, sort key = order date (and order id), then Query that partition.",No keys; use Scan with a filter on customer id for every request.,A random partition key plus a local secondary index on customer id for Query.,B
Gen AI,junior,"In generative AI, RAG still fails when:",The retriever never surfaces the passage that actually answers the question,Adjacent chunks share a small overlap,You log which document IDs were retrieved,You cap the maximum answer length,A
Gen AI,junior,"In generative AI, a 200-page policy PDF is pasted into the prompt and the model misses a clause in the middle. What limit did you hit conceptually?","Models cannot read PDFs, only HTML.",Context is finite and attention is uneven; long dumps get truncated or under-attended — retrieve the relevant chunks instead.,The tokenizer refuses documents over 10 pages.,You must fine-tune or the model cannot see user text.,B
Gen AI,junior,"In generative AI, a common chunking mistake is:",Keeping a heading with the paragraph it introduces,Splitting a definition so the term and its meaning land in different chunks,Using modest overlap between neighboring chunks,Dropping repeated boilerplate headers,B
Gen AI,junior,"In generative AI, a model can sound confident while wrong because:",Token likelihood is not a calibrated score that the claim is true,Every decoded sentence is checked against a knowledge graph,Temperature is a built-in fact checker,Decoding uses symbolic proof search,A
Gen AI,junior,"In generative AI, a model is trained to predict the next token. Why can it still invent a plausible-looking citation?",It stores a verified database of papers and sometimes returns the wrong row.,"It samples a fluent continuation, not a lookup of facts; truth is not the training objective.",Hallucinations only happen if temperature is 0.,"The tokenizer strips numbers, so citations cannot be copied from training data.",B
