Question,Option A,Option B,Option C,Option D,Correct Answer
You version objects and overwrite a key 1 million times a day. What cost/ops surprise hits later?,Versions are free and hidden.,Every overwrite keeps a full previous object (until you expire versions); list/delete/lifecycle work and storage grow without bound.,S3 coalesces versions into a delta log automatically.,"Versioning only stores metadata, never bytes.",B
A B-tree checkpoint/WAL design vs LSM WAL: what is the conceptual difference for user writes?,B-tree WAL protects in-place page mutations; LSM WAL protects memtable contents until flush,Only LSM uses a WAL,Only B-trees use a WAL,Neither needs a WAL if fsync is used on data files,A
A B-tree update in place looks cheaper than LSM for a single row. When does the B-tree lose?,Never; in-place updates are always fewer bytes to disk.,When the working set of dirty pages is larger than cache and writes become random I/O across the tree.,Only when using hash indexes.,When the table has no WAL.,B
A B-tree update of a 100-byte row that lives in a 16 KiB leaf: what is the first-order write-amplification story?,You write ~100 bytes because only the row changes,"You typically rewrite the whole leaf (and maybe ancestors on split), so amplification is page-sized not row-sized",Write amplification is always 1 because of WAL grouping,Only the bloom filter page is rewritten,B
A workload is update-heavy on a small key set. Which engine property should you worry about first for LSM?,B-tree leaf splits,"Compaction must keep rewriting those hot keys, so write amplification and tombstone/version churn stay high",Bloom filters cannot represent updates,Range scans become hash lookups,B
A write stall in an LSM engine is most often a symptom of what imbalance?,Bloom filters are too accurate,"Flush/compaction cannot keep up with ingest, so memtables or L0 files pile up and writes are throttled",The WAL is too small to hold one record,Range scans are disabled,B
"During an LSM range scan, bloom filters usually help how much?","They eliminate almost all SSTables, same as a point get","Little or none: a range may overlap many files, so you still merge-sort those overlapping runs",They convert the scan into a hash lookup,They replace the need for a block index,B
Leveled compaction vs size-tiered: which statement about amplification is the useful default intuition?,Leveled usually trades higher write amplification for lower read and space amplification,Size-tiered always has both lower write and lower read amplification,Leveled never rewrites data,The two strategies have identical amplification; only file names differ,A
Range scans on an LSM often pull from several levels. What extra mechanism still helps point lookups more than ranges?,"Bloom filters, which do not apply cleanly to arbitrary ranges.","The WAL, which is sorted by key.","Prefix compression, which makes ranges O(1).","Memtable skip lists, which replace SSTables for scans.",A
Space amplification in LSM is high when…,Obsolete versions and overlapping runs have not been compacted away yet,Bloom filters use a few bits per key,The WAL is fsynced,The memtable is empty,A
Why can a B-tree still beat LSM on a point get even when LSM has bloom filters?,"A well-cached B-tree often needs one leaf I/O (plus a few internal nodes), while LSM may still miss cache on several files",B-trees never touch disk,Bloom filters always return false,LSM cannot store point keys,A
Why does a leveled LSM often bound point-read I/O to roughly one file per level (plus L0)?,Each level (except L0) keeps key ranges mostly non-overlapping,Only one SSTable exists in the whole tree,Bloom filters store the level number of every key,The memtable is searched instead of disk,A
Why is WAL + memtable not enough by itself for long-term LSM health?,The WAL already stores sorted SSTables,"Without flush and compaction, recovery time, file count, and obsolete versions grow without bound",Memtables cannot hold more than one key,Bloom filters cannot be built from SSTables,B
Write amplification in an LSM is high. Compaction is always running. What is the engine spending I/O on?,"Rewriting the same keys into new sorted runs as they age through levels, plus dropping tombstones.",Updating B-tree leaf pointers on every write.,Rebuilding Bloom filters for the WAL.,fsync of the memtable on every GET.,A
You flush tiny memtables very frequently. What is the likely first-order effect?,Lower write amplification because files are small,"Many overlapping SSTables, worse read amplification, and more compaction work later",Bloom filters become exact,Range scans no longer need merge iterators,B
You need both fast random writes and efficient large range scans. What is the honest tradeoff to explain?,LSM favors ingest; scans pay merge cost across runs. B-trees favor locality; ingest pays random page writes,"One structure always wins both, so pick either",Bloom filters make LSM scans as cheap as B-tree scans,Compaction removes the need to think about scans,A
You undersize bloom filters so the false-positive rate is high. What happens to LSM point-read amplification?,Nothing; bloom filters are only used in compaction,More SSTables are opened and their indexes probed even though the key is absent,Range scans become cheaper,The WAL grows faster,B
A `std::function` callback captures `this` and is stored after the object dies. What is the failure?,std::function extends the object's lifetime.,A dangling `this`; the callback is a use-after-free when invoked. Own the callback lifetime or capture what you need by value.,Lambdas cannot capture this.,The compiler rejects storing such functions.,B
A data race on a non-atomic int is 'just a torn read' — why is that the wrong mental model in C++?,Data races are defined to return the last write.,"A data race is undefined behavior: the compiler may miscompile the surrounding code, not merely tear the int.","The memory model only applies to atomics, so racy ints are always fine.",POSIX threads make all ints atomic.,B
A template is defined only in a .cpp file. Other TUs that use it fail to link. Why?,Templates cannot be in cpp files ever.,"The compiler needs the definition visible at instantiation, or you must explicit-instantiate; otherwise the linker cannot find the specialization.",You forgot `export template` which C++20 always requires.,The ODR allows one cpp to serve all TUs automatically.,B
Exception from a destructor during stack unwinding. What does the language do?,It nested-catches the new exception.,"If a destructor throws while another exception is in flight, the process calls std::terminate.","Destructors cannot throw by language rule, so this is a compile error.",The original exception is replaced silently.,B
"You need a concurrent queue. Rolling your own with one mutex is 'too slow', so you write a lock-free queue. What should you fear first?",Lock-free is always faster and easier to prove.,"ABA, memory-order mistakes, and UB that only reproduces on the other CPU; a mutex queue is often the right first product.",mutex is illegal on more than two threads.,The standard provides a portable lock-free queue you must use.,B
You pass a `std::initializer_list` that you stored for later. Why can it dangle?,initializer_list is a pair of pointers into a temporary array whose lifetime is the full expression.,initializer_list owns a vector.,It is a container like vector and is safe to store.,The backing array is in static storage.,A
You return a `std::vector` by value. Why is that usually the right API in modern C++?,It always heap-allocates twice; callers should pass an output pointer.,NRVO/move make it cheap; returning by value states ownership clearly vs a raw pointer.,vector cannot be moved.,Return-by-value copies every time before C++23 only.,B
shared_ptr copies in a tight loop show up in profiles. What are you paying for?,A mutex on every dereference of `*ptr`.,Atomic refcount updates and an extra control-block allocation; unique_ptr or a borrowed raw/span would avoid it when sharing is not required.,Virtual dispatch on every copy.,shared_ptr copies are free after inlining.,B
A coordinator stores many hints for a down replica. What operational risk follows?,Hints improve read latency forever,"Hint replay can storm the recovering node, and hints can expire so divergence remains until repair",The down replica is removed from RF automatically,LWT becomes free,B
A partition for one customer grew to tens of GB. Queries to that customer are slow even at CL=ONE. What is the structural problem?,CL=ONE cannot read large partitions; you must use ALL.,The whole partition is the unit of co-location; one huge partition is a single-node hotspot and a wide-row read tax.,"Cassandra automatically splits partitions at 100 MB, so this cannot happen.",Large partitions are stored in S3 and each read is a restore.,B
A query with no restriction on partition key but a clustering-column filter is slow. Why?,Clustering filters require LWT,"Without a partition key, Cassandra cannot target a replica set; it must scatter or reject/filter broadly",Bloom filters only work on clustering columns,QUORUM cannot be used without clustering columns,B
An LSM-style memtable flush in Cassandra is most analogous to which cost you already pay in the storage engine?,Token hashing,Write path is fast sequential; later compaction and many SSTables create read amplification for that partition,Gossip heartbeats,Native CQL parsing,B
"For RF=3, why is write QUORUM + read QUORUM the classic 'strong enough' pairing?",It contacts every node in the cluster,W+R>RF so the read set and write set must overlap on at least one replica,QUORUM ignores RF,It disables hinted handoff,B
LOCAL_QUORUM vs QUORUM in a multi-DC cluster: what did you change?,RF in every DC,"You wait for a majority in the local DC only, not a cluster-wide majority, cutting cross-DC latency",Tombstone gc grace,The number of clustering columns,B
LWT on a hot partition is especially painful because…,Paxos storage is on a different cluster,Each LWT serializes competing proposers on that partition; hot keys queue behind in-progress rounds,LWT disables the partitioner,LWT requires RF=1,B
Range deletes and TTL expiry create many tombstones. Which read is most likely to time out?,A point get of a live key in a tiny partition with no deletes,A slice scan that must walk and skip huge runs of tombstones before finding live rows,A LOCAL_QUORUM write,A schema-agreement check,B
Read repair vs full/incremental anti-entropy repair: how should you think about them?,They are identical background jobs,Read repair may fix replicas touched by a query; anti-entropy repair walks token ranges to reconcile even cold data,Read repair rewrites the schema,Anti-entropy repair only runs on the coordinator's memtable,B
Repair has not run for longer than gc_grace_seconds after many deletes. What resurrection bug are you exposed to?,Tombstones expired while a replica still has the old data; repair can copy the old row back.,Hinted handoff deletes all tombstones cluster-wide.,"gc_grace only affects TTL columns, not DELETE.",Repair refuses to run if tombstones expired.,A
Why can hinted handoff not replace repair?,Hints only cover some missed writes for a limited window; they do not reconcile all replica divergence,Hints always corrupt data,Repair cannot run if hints exist,Hints only work at CL=ALL,A
Why does Cassandra still need gc_grace-style delay before dropping tombstones?,To keep bloom filters warm,A replica that was down could otherwise resurrect deleted data after tombstones are gone,QUORUM counts tombstones as live votes,LWTs require tombstones forever,B
"Why is 'RF=3, CL=QUORUM, but NetworkTopologyStrategy with RF=3 in only one DC' a different failure domain than two DCs of RF=3?",It is not; RF is global,"Quorum is computed from the keyspace's replica placement; one DC of 3 means a DC outage loses quorum, unlike per-DC RF=3 with LOCAL_QUORUM",Consistency level ignores replica placement,Two DCs always require CL=ALL,B
"You model 'all events for a user' as partition=user_id, clustering=time. What hot-partition pattern should you expect?",Users are perfectly balanced by definition,Celebrity/hot users concentrate writes and reads on one partition and its replica set,Clustering by time spreads data across all tokens,QUORUM automatically shards hot users,B
You write QUORUM and read ONE. What consistency property did you give up?,Durability of the commit log,The guarantee that the read intersects the write quorum; you can read a stale replica,The partition key hash,The ability to compact SSTables,B
You write QUORUM and read QUORUM with RF=3. Why is this still not a linearizable compare-and-set for two clients updating the same cell?,QUORUM already provides linearizability for all writes.,Last-write-wins timestamps can still lose an update; you need LWT/Paxos (or an external consensus) for a true CAS.,QUORUM reads always see the latest write if the clocks are NTP-synced.,Cassandra serializes all writes to a partition through a single leader like Raft.,B
A UI table sorts by selected column. Rows with equal values jump around every click. Users complain. Fix?,"Use a stable sort, or add a hidden unique tie-breaker (original index) so the order is deterministic",Switch from array to linked list of rows,BFS the table model,Put rows in a Bloom filter,A
A priority queue of tasks also needs 'cancel task by id.' Plain binary heap problem?,Find-by-id is not a heap operation — keep a hash from id → heap index (or a tree of tasks) so decrease-key/delete is possible,Heaps already index by arbitrary id,Cancel is a BFS of the heap array,Use a Bloom filter as the heap,A
An LRU cache is a hash map plus a doubly linked list. Why both?,The list gives O(1) lookup; the map gives recency.,The map finds the node in O(1); the list moves that node to most-recent in O(1) and evicts the tail in O(1).,The map is only for persistence; LRU can be a list alone in O(1).,A heap would be strictly better for LRU.,B
"Bloom filter at 1% false positive, you then always fetch the DB on 'yes.' What did you actually save?",Negative lookups skip the DB; positives (true and false) still pay the DB round trip — win is skewed to mostly-miss workloads,You saved the DB on all yes answers,False positives delete DB rows,The filter replaces the DB for yes and no,A
"Cache with consistent hashing. Client hashes to node A; A misses and fills from DB. Node A is added/removed and the key now lives on B, which is empty. User-visible issue?",Those keys thundering-herd the DB until B fills — consistent hashing reduces movement but does not zero it; replicas/shadow fills exist for that,Consistent hashing forbids misses after a membership change,LRU on B automatically contains A's memory,Bloom filters migrate the bytes,A
"Consistent hashing without virtual nodes, 3 physical caches of unequal capacity. Typical pain?",Arc sizes are lumpy — one node owns a huge key range; virtual nodes (many labels per physical) smooth load,All keys hash to node 0 by definition,Union-find is required to split the ring,LRU cannot run on a ring,A
Consistent hashing without virtual nodes: one cache host dies. Why is the remap worse than it should be?,"All keys must move to a random new host, not just the dead one's.","Only the dead node's keys should move, but without virtual nodes load was already skewed and neighbors absorb a huge slice.",Consistent hashing requires a coordinator to rewrite every key.,Dead nodes keep their keys until a full rehash.,B
Graph of a social network: find people within 2 hops. Why BFS beats DFS here?,You care about distance layers; BFS emits level 1 then 2 and can stop. DFS can wander to hop 40 before it has finished hop 2,DFS cannot mark visited nodes,BFS cannot handle cycles,Heaps compute hop count faster than queues,A
Hash table vs balanced tree for a language runtime dictionary. Hash is faster on average. When do you still pick the tree?,"You need worst-case bounds, ordered iteration, or keys that are expensive/adversarial to hash — trees give comparable keys an order hash does not",Trees always beat hashes on point lookup,Heaps iterate in hash order,Linked lists iterate faster than both,A
Kruskal-style clustering: merge closest pairs until k clusters. Why union-find instead of rerunning DFS?,Each merge and 'same cluster?' is cheap with disjoint sets; DFS from scratch every edge is repeating connectivity work,DFS cannot detect connected components,Heaps find components faster than union-find,Bloom filters cluster by hash collisions on purpose,A
"Online connectivity: unions arrive, and you also need the size of each component. Union-find tweak?",Store subtree/component size on the root; union by size and add sizes on merge — queries read the root's size after find,Run BFS from every node after each union,Put components in a max-heap keyed by an arbitrary id,Hash each pair of nodes,A
"Workload: 10M keys, need 'all keys between A and B' and occasional insert. Engineer proposes a hash map. What fails?",Hashes do not keep order — range scan becomes a full table scan; an ordered tree (or B-tree / LSM with keys in order) matches the scan,Hash maps cannot insert after construction,Trees cannot store 10M keys,A heap can range-scan in sorted order without extra cost,A
You implement LRU with a hash map plus singly linked list. Evict-the-tail is easy; a hit in the middle is not O(1). Missing piece?,You need a back pointer (doubly linked) or an explicit prev in the map so you can unlink in O(1),Singly linked lists are always O(1) to move a middle node,A Bloom filter of the tail replaces the list,BFS from the head on each hit is the standard LRU,A
"You must sort 1e8 records that are already almost sorted by timestamp, and equal timestamps must not reorder events. Which concern dominates?",Stability (and preferably an algorithm that is fast on nearly-ordered input) — a random-swap unstable sort both scrambles ties and fights the existing order,Only whether the textbook name is merge sort,Converting to a linked list first for locality,Inserting into a Bloom filter then iterating it,A
"You need a set-membership check in a scraper: 'have I already queued this URL?' Memory is tight, duplicates are annoying but not fatal. Structure?",Bloom filter (accept some extra fetches) — a hash set of all URLs may not fit; a tree of URLs is even heavier,A heap of URLs ordered by length,DFS stack as the only store,Union-find on characters of the URL,A
You need the smallest k items from a huge stream. Why a size-k heap instead of sorting everything?,Heap of k gives O(n log k) extra memory O(k); full sort is O(n log n) and needs the whole set.,Sorting is O(n) and always better.,Heaps cannot compare items that arrive over a stream.,You must store all n items in the heap anyway.,A
"You store a graph as adjacency lists of linked nodes, then BFS a high-degree vertex. Hardware issue?",The neighbor list itself pointer-chases; a compact CSR/adjacency array scans neighbors in cache-line bursts and BFS gets faster without changing the algorithm,BFS is impossible without linked lists,DFS requires arrays; BFS requires lists,Union-find will pack the lists,A
A GSI has a partition key with much lower cardinality than the base table. Traffic looks fine on the table and throttles on the GSI. Why?,"GSIs share the base table's partitions, so this cannot happen.",Each GSI is its own partitioned table with its own hot-key limits; a low-cardinality GSI key concentrates writes.,"GSIs are eventually consistent, which is reported as throttling.",You must provision GSIs in RCUs only; WCUs do not apply.,B
A GSI uses email as its partition key. Some emails are extremely popular write targets. What happens?,Only the base table can throttle; GSIs share infinite capacity,The GSI can hot-partition and backpressure base-table writes that must update that index,DynamoDB silently drops GSI updates,Email keys are automatically sharded,B
A Query without a partition key is invalid because:,Query is just a slower Scan,"Query is defined as 'read this partition (and maybe a sort-key slice)', not 'search the table'",Partition keys are optional on tables,Query only works on GSIs,B
A reporting job Scans nightly 'because it is off-peak'. Why can this still hurt production?,Scans take a global lock,Scan still consumes read capacity and can steal throughput from live partitions if not isolated (separate table/export/on-demand job design),Scans convert the table to provisioned,Nightly jobs cannot use IAM,B
A session blob is approaching a few hundred KB and is read on every API call. Best modeling move?,Keep growing the item; 400KB is a soft guideline,"Move the blob to object storage and keep a pointer plus small, frequently read fields in DynamoDB",Store the blob as the partition key,Use Scan to fetch only one attribute,B
Condition checks (optimistic locking with a version attribute) exist because:,PutItem always appends,Two writers can overwrite the same item; you need a predicate so the second write fails instead of clobbering,GSIs cannot update,Strongly consistent reads lock the item,B
Each order item also updates two GSIs. Under a write-heavy workload this matters because:,GSIs are read-only,"Every base write fans out extra index writes, so write amplification and index hot keys become the limiter",GSIs batch all writes into one WCU,Index writes are free if the table is on-demand,B
Item size is approaching hundreds of KB with a frequently updated counter inside the same item. What modeling pressure are you ignoring?,There is no write amplification; DynamoDB patches one attribute in place.,A write rewrites the whole item; fat items plus hot attributes waste WCU and increase conflict/latency. Split immutable blob from the hot counter.,Counters must live in S3 because DynamoDB cannot increment.,Large items are automatically offloaded to S3 by the SDK.,B
Projecting ALL attributes into a GSI is convenient. The downside is:,Queries become strongly consistent,"Index storage and write cost track the full item, so fat items make the GSI expensive and slower to update",You can no longer Query the GSI,The 400KB limit disappears,B
"Provisioned capacity is set high at the table, but one partition key still throttles. What is the lesson?",Table-level capacity is not a guarantee for a single hot key,Throttling always means the account is out of quota,You must switch to Scan,Strongly consistent reads ignore throttling,A
Sparse GSIs (only items that have the index keys) are useful because:,They make every item strongly consistent,They keep the index small and aligned to a real access path instead of indexing the whole table,They disable throttling,They allow items larger than 400KB,B
Steady 5k QPS all day vs a flash-sale spike to 80k for 20 minutes. Capacity modes?,Both must be provisioned at 80k,Steady load often fits provisioned; the flash-sale shape is why on-demand (or a big scale-up plan) exists,On-demand cannot handle 80k,Provisioned ignores partition keys during spikes,B
Why are GSI reads eventually consistent even if you request strong consistency on the table?,GSIs live in a separate replication path; they are not a strongly consistent projection of the base item,GSIs are stored on the client,Strong consistency is deprecated,GSIs only support Scan,A
Write sharding (userId#0 .. userId#N) helps a hot key. What cost do you accept?,No cost; it is free,"Reads that need the full picture must fan in across shards, and shard count becomes part of the model",Sort keys no longer work,You lose eventual consistency,B
You need 'read my write' on the same item in one request path. Which read should you use?,Eventually consistent GetItem on a GSI,Strongly consistent GetItem/Query on the base table,Scan with a filter,Any GSI Query,B
You need a strongly consistent read of an item you just wrote in another region of a global table. Why might that still be wrong?,"Strongly consistent reads in a region only reflect that region's replica, not a cross-region quorum.","Global tables use two-phase commit, so every region has the write before ACK.",Strongly consistent reads always fan out to all regions.,Global tables disable strongly consistent reads.,A
"You need to query users by status, but 95% of users are ACTIVE. Why is a GSI on status a poor partition design?",GSIs cannot use strings,"Status has almost no cardinality, so the ACTIVE partition becomes a hotspot",GSIs require numeric keys,Status attributes cannot be projected,B
A next-token model “fills in” a plausible citation that was never retrieved. The deepest cause is:,The optimizer directly maximizes factual F1,Decoding continues a locally likely string even when no supporting span is in context,Temperature is a citation verifier,The tokenizer refuses unknown entity names,B
A product catalog changes hourly. Fine-tuning nightly on the catalog is usually worse than RAG because:,Weights cannot store any regularities,"Retraining is slow, expensive, and still leaves a stale gap between jobs, while retrieval can read the live index",RAG cannot cite a SKU,Prompts cannot mention prices,B
A prompt-injection in a user email tells the model to ignore policy and dump the system prompt. You retrieve that email into context. What should the design assume?,Retrieved documents are trusted the same as system instructions.,"Untrusted text must not be able to override the system policy; delimit, tool-permission, and treat retrieved content as data.",Only images can carry injections.,Fine-tuning removes all injection risk.,B
A support bot answers from RAG. Users report confident wrong refund rules. First debug step:,Assume the generator is the only fault and immediately fine-tune,Inspect whether retrieved chunks actually contain the cited rule and whether chunk boundaries split it,Set temperature to 2,Delete the system prompt,B
Eval on 12 hand-picked “happy path” prompts is a pitfall because:,"Small, unrepresentative n hides retrieval misses, injection, and long-context failures",Twelve is always statistically sufficient,Hand-picked cases cannot be written down,Gold labels are illegal,A
Fixed-size chunking with no overlap most often hurts when:,A sentence or table row is cut so neither chunk is a useful retrieval unit,You store document IDs in metadata,You normalize Unicode,You cap chunk count per query,A
Indirect prompt injection typically happens when:,The developer types a new system prompt,The model retrieves or is given an external document that contains hidden instructions,Temperature is an integer,You lower max tokens,B
RAG answers are wrong even though the right paragraph exists in the corpus. Which failure is most common?,The LLM cannot use retrieved text; RAG only works with fine-tuning.,"Retrieval missed or ranked it below the cut (chunking, embedding mismatch, too few hits), so the model never saw the evidence.",Temperature 0 disables RAG.,"If the paragraph exists, the model always finds it via weights.",B
Two sentences have the same word count. Sentence A is English prose; B is dense code with punctuation. Token counts:,Must be equal because words = tokens,Often differ; code and punctuation typically consume more tokens per character,Are always smaller for code,Ignore punctuation entirely,B
Using an LLM-as-judge on the same model family as the system under test is risky because:,Judges cannot read text,"Shared biases (verbosity, style, self-preference) can inflate scores without measuring the task",It always underestimates fluency,It cannot output a number,B
"Which is a RAG failure mode, not a generator-only bug?",The index is stale; the retrieved “policy” was replaced last week,Temperature is 0.2 instead of 0.0,The answer is truncated at max tokens after a correct quote,The system prompt asks for bullet points,A
Why can “answer only from context” still hallucinate?,The instruction is a soft constraint; the model may still continue a likely unsupported sentence,Tokenizers delete the instruction,RAG disables next-token prediction,Temperature zero forbids all tokens not in the chunk,A
You evaluate a chatbot with an LLM-as-judge on fluency. Production users complain about wrong refunds. What did the eval miss?,Fluency judges cannot run in CI.,"You optimized a proxy metric; you needed task correctness, groundedness, and policy tests, plus online outcome metrics.",LLM-as-judge is always calibrated to business outcomes.,Refunds cannot be evaluated except in production.,B
You need the model to always emit a strict record format and domain shorthand. Best first lever after a prompt fails at scale:,RAG over random web pages,"Fine-tune or distill on input→format pairs, keeping facts in retrieval if they move",Raise temperature,Disable the context window,B
You paste a 200-page manual into the prompt “so nothing is missed.” A realistic failure is:,"Attention is free, so ranking inside the window cannot matter",You pay for all tokens and the model still under-uses the buried relevant paragraph,The window compresses unused pages to zero tokens,Injection becomes impossible,B
You pay per token. Which design most directly cuts cost without shrinking the model?,"Retrieve top-k small chunks instead of stuffing whole documents, and truncate unused history",Duplicate the same PDF in the prompt for redundancy,Raise temperature so answers are longer,Disable caching of identical prefixes,A
You raise temperature to increase idea variety on a constrained extraction task. The usual side effect is:,Stricter schema adherence,More format drift and made-up fields because tail tokens get more mass,A larger context window,Automatic citation checking,B
"A ConcurrentHashMap is used as a hit counter with `map.put(k, map.get(k)+1)`. Why is that still racy?",ConcurrentHashMap forbids Integer values.,get+put is not atomic; two threads can lose an increment. You need merge/compute or a LongAdder.,"ConcurrentHashMap serializes all puts, so the count is always exact.",You must synchronize on the map anyway or reads tear.,B
A ConcurrentHashMap of request-scoped data that is never removed causes:,Automatic eviction,"A bounded leak of keys/values, promotion into old gen, and eventual heap exhaustion — concurrency does not imply boundedness",The map to switch to weak keys,Thread interruption,B
