Question,Correct Answer
Why does InnoDB REPEATABLE READ not prevent write skew the way SERIALIZABLE does?,"Snapshot reads take no predicate locks, so two transactions can each read data that would forbid the other's write and both commit. SERIALIZABLE turns those reads into locking reads, which serializes but deadlocks more under load."
Why keep replica_preserve_commit_order on when it slows parallel apply?,"Without it, a replica can expose a commit order the source never had, breaking read-your-writes for apps on the replica and confusing cascading replicas. You buy apply throughput by giving up that observed serial order."
How do full_page_writes and torn pages interact with WAL volume after checkpoints?,The first modification of a page after a checkpoint logs a full page image so recovery can rebuild a torn 8K write. That spikes WAL after each checkpoint. Disabling FPW is only safe if the storage truly writes pages atomically.
How do hash vs range partitions differ for tenant retention and pruning?,"Equality on the hash key still prunes, but a tenant's rows are scattered so you cannot detach one tenant cheaply. Range or list on tenant_id makes drop/archive a partition detach, at the cost of skew if some tenants are huge."
How should insert-only tables be frozen so autovacuum does not rescan them forever?,"Freeze tuples and set visibility-map bits on newly written pages so later vacuums skip all-visible ranges. Without that, wraparound vacuums repeatedly read terabytes of immutable history."
What breaks in transaction-pooling PgBouncer?,"Anything that assumes a session lasts beyond one transaction: temp tables, SET, WITH HOLD cursors, session advisory locks, some prepared statement modes. Design the app for transaction pooling or use session pooling for the sessions that need it."
What goes wrong when a PL/pgSQL loop creates huge numbers of subtransactions?,"Subxids overflow the in-memory cache and spill to pg_subtrans. Snapshot and hint-bit checks then do extra I/O, and a rollback of a deep subtransaction stack is expensive. Batch work instead of per-row SAVEPOINTs."
What makes a table-rewrite DDL cutover fail even if you copy rows in batches?,"Concurrent writes must be dual-written or paused; sequences, FKs, triggers, TOAST, and replica identity must stay consistent. A swap without a lock window or trigger-based backfill loses or duplicates rows at the boundary."
"When is BRIN the right index, and when does it become a lie?",BRIN is cheap and effective when physical order correlates with the indexed key (append-mostly time series). Random updates and heap-only churn widen range summaries until pruning stops working and you wanted btree or clustering.
Why can SSI abort a read-only transaction?,"Serializable Snapshot Isolation tracks rw-conflicts. A read-only snapshot can complete a dangerous cycle with concurrent writes, so PostgreSQL aborts one participant. Retry is part of the model, not an engine bug."
Why is a logical UPDATE that changes a replicated identity or row-filter key so dangerous?,"Logical decoding emits an UPDATE, not a coordinated DELETE+INSERT across publications. Filters, partitions, and replica identity can drop the old key and never insert the new one, causing silent drift between nodes."
Why is a sync standby on the commit path a product decision?,"Every COMMIT waits for that standby to flush WAL. You improved RPO and imported its availability and AZ latency into the primary's write SLO. If the standby flaps, writes stall. That can be correct for money; it is wrong for a best-effort cache."
How do C extensions get in the way of concurrency?,"If they hold the GIL for heavy work, threads cannot run Python. The fix is Py_BEGIN_ALLOW_THREADS around the compute, or run that work in another process."
How do you use many cores from CPython?,"Processes, or native code that releases the GIL (numpy, a Rust extension). Threads and asyncio overlap I/O; they do not parallelize bytecode. Architect the pipeline around that fact."
Is the GIL a mutex for your dict?,"No. It protects CPython internals, not your compound invariants. Two bytecode instructions can interleave around dict[k] += 1. Use a lock or a single-thread owner."
Why is pickle a bad interchange format?,"It encodes Python object graphs and class paths, not a stable schema. Version skew breaks it, and unpickling untrusted bytes is code execution. Use parquet, JSON, or protobuf at the boundary."
Correct cache-aside write path?,"Write the database, then invalidate (or carefully update) Redis so a stale cache cannot resurrect old truth. Do not treat SET as commit."
Cross-slot MULTI/EXEC?,"Refused. Colocate with hash tags, or use an external workflow/database transaction. Redis 'transactions' are one-instance command queues."
Node death in Cluster?,Slots on that node are unavailable until a replica fails over. No replica => those keys are gone from the cluster until restore. Plan replicas.
Stampede + single thread + slow DB fill?,One owner refills; others wait or serve stale; jitter TTLs. Never let N app servers reconstruct the same key at once into one Redis thread.
Streams/consumer groups vs 'Redis is my job system of record'?,Groups give pending lists and acks after worker crash. Useful. Still memory/eviction/persistence limited — not your financial ledger.
WAIT / WAITAOF after a write?,Optional barrier until replicas or AOF meet a durability bar. Default SET does not wait. Still not full consensus like a database commit.
What is the RPO of async replica promotion?,"Whatever was not replicated. Session stores and queues that only lived on the old primary are gone. If that RPO is unacceptable, wait for replication (costing latency) or store the source of truth elsewhere."
What makes a Redis lock correct enough to mutate a resource?,"Expiry so it cannot live forever, and a fencing token so work started under an expired lock cannot still commit. SET NX without both is a mutex-shaped race."
What must Cluster clients handle during slot migration?,MOVED/ASK redirects and transient cross-slot errors. A pipeline of mixed-slot keys is not one node-local batch.
Why are big keys worse than 'they use RAM'?,"Serialization, expiry, replica sync, and many commands become O(N) on the single thread. Split hashes/lists/streams."
What is the outbox pattern doing in a Spring service?,You commit the business row and an 'event to send' in the same database transaction. A relay publishes after commit. Crashes retry the publish. You do not call Stripe inside the DB transaction and hope.
Why is a shared database between services a distributed monolith?,"Schema changes, locks, and entity meaning now require coordinated deploys. You lost independent release. Split ownership or accept you are one app in two repos."
