Question,Correct Answer
Why does an InnoDB secondary index lookup often do two B-tree searches?,"The clustered primary-key tree holds the row. A secondary index stores the PK columns, not the full row. After finding the secondary entry, InnoDB looks up the PK to fetch remaining columns — unless the secondary index already covers the query."
Why does replica lag often jump when a long source transaction commits?,"The source writes the transaction to the binlog at commit, then the replica fetches and applies a burst of events. During the open transaction the replica can look caught up even though a large apply queue is about to arrive."
Why is InnoDB's primary key the table?,Rows live in the clustered B+tree ordered by the PK. Secondary indexes store the PK as the locator and then look up the clustered row. A random or very wide PK therefore slows inserts and inflates every secondary index.
How does a HOT update avoid touching indexes?,"If indexed columns are unchanged and the new version fits on the same heap page, PostgreSQL links a heap-only tuple and leaves index pointers at the old line pointer. No free space or an indexed-column change forces a non-HOT update and index WAL."
"What does WAL give you, and what does a CHECKPOINT change about crash recovery?",WAL records every change so a crash can redo work since the last consistent point. A checkpoint flushes dirty pages so older WAL can be recycled. Larger gaps between checkpoints speed normal writes but lengthen recovery.
What does partition pruning need in order to actually reduce I/O?,"The query must constrain the partition key with a planner-visible predicate (not hidden in a wrapper). Otherwise every partition is opened and planned, which can be slower than an unpartitioned table."
What does synchronous_commit = off actually risk?,"COMMIT returns before WAL is flushed to disk. After a crash, recently 'committed' transactions can vanish. You trade durability of the last moments of writes for lower COMMIT latency on data you can afford to lose."
What is the practical difference between session pooling and transaction pooling?,"Session pooling keeps session state (SET, prepared statements, WITH HOLD cursors) on one backend. Transaction pooling returns the backend at COMMIT, which multiplies capacity but breaks anything that assumes session affinity."
"When does a btree index help a query, and when does it hurt?","It helps when the predicate is selective and avoids reading most heap pages. It hurts when it matches a large fraction of the table, adding random I/O on top of a cheaper sequential heap read, and it always adds write and vacuum cost."
Why can a single idle-in-transaction session block autovacuum cleanup?,"VACUUM cannot remove tuple versions still visible to any running snapshot. An old idle transaction holds back xmin, so dead rows pile up, tables bloat, and query plans degrade until that session ends."
Why does PostgreSQL MVCC make UPDATEs create a new heap tuple instead of overwriting in place?,Concurrent snapshots must still see the old row version until their xmin/xmax visibility rules allow the new one. Overwriting would make readers observe uncommitted or future states. The cost is dead tuples that VACUUM must later reclaim.
Why don't readers block writers under PostgreSQL MVCC?,Each transaction sees a snapshot of row versions. A writer creates a new version instead of overwriting the bytes a reader is using. The cost is dead versions: VACUUM (and related freeze work) must reclaim them or tables bloat and XID wraparound becomes a risk.
Why write WAL before the heap?,"Durability is 'the log hit disk', not 'the table file is up to date'. After a crash PostgreSQL can replay WAL and reconstruct committed changes. Putting WAL on drowning-slow storage, or skipping fsync, trades that durability away."
What does the GIL actually serialize?,"Bytecode execution in CPython. It does not magically make your data structures thread-safe, and it does not prevent I/O from overlapping. CPU-bound pure-Python needs processes or a native extension that releases the GIL; I/O-bound work can still benefit from threads or asyncio."
When should you use `is`?,"Identity: None, sentinels, and 'is this the same object'. Not for string/int equality. Interning makes `is` accidentally work in demos and fail in production."
Why are mutable default arguments shared?,"Defaults are evaluated once, when the function is defined, and stored on the function object. A default list or dict is therefore the same object on every call. Use `None` and allocate inside the function."
Why is a generator not a list?,"It produces values as you iterate and then is spent. You cannot rewind it or ask its length cheaply. If two consumers need the data, materialize a list or recreate the generator."
KEYS vs SCAN?,KEYS * blocks the single thread over the whole keyspace. SCAN iterates incrementally and is the production-safe way to walk keys.
RDB vs AOF in one thought.,"RDB is a point-in-time snapshot: fast restart, can lose everything since the last save. AOF appends every write and can be fsynced more often, at a cost in disk and rewrite work. Many production setups use both."
RDB vs AOF?,"RDB: compact point-in-time snapshot, more potential loss since last save. AOF: logs writes for a tighter durability window, more disk work. Often combined."
What are cluster slots?,The keyspace is split into hash slots owned by nodes. A key lives in one slot. Multi-key ops need the same slot (hash tags like {userId}).
What does Redis's single-threaded command loop imply?,"One slow or O(N) command blocks other clients on that process. More connections ≠ more cores. Avoid KEYS, huge values, and heavy aggregates on the hot instance."
What does a TTL actually guarantee?,The cache entry may go away. It is not a business delete in the source of truth and not a durability mechanism.
What is a cache stampede?,"Many clients miss the same expired/hot key at once and all hit the origin. Mitigate with single-flight, stale-while-revalidate, and jittered TTLs."
What is eviction?,"When maxmemory is hit, Redis drops keys by policy (allkeys-lru, volatile-lru, LFU, noeviction, …). A SET can succeed now and still disappear later."
Why can one slow command stall every client?,"The core command loop is single-threaded. A O(N) KEYS, a huge sort, or a big Lua script owns that thread until it finishes. Other connections wait. Use bounded operations, SCAN, and complexity-aware data structures."
Why is Redis not the source of truth?,Memory + eviction + async replicas + snapshot/AOF gaps mean data can vanish. Persist business state in a database; Redis holds a speed copy.
What is the Open Session in View footgun?,"The persistence context (and usually the JDBC connection) stays open while the view renders. Lazy associations become hidden queries on the request thread, N+1 shows up in production, and pool connections are held during template rendering."
Why can @Transactional on a self-call do nothing?,"Spring puts the advice on a proxy. `this.other()` is a direct Java call, so no proxy, no transaction, no rollback. Move the method to another bean or self-inject the proxy if you truly need the inner boundary."
