Question,Option A,Option B,Option C,Option D,Correct Answer
A globally distributed Cassandra app uses LOCAL_QUORUM in each DC and never repairs. What consistency story are you actually giving users who travel between DCs?,Linearizable global reads.,A DC-local quorum that can remain stale vs another DC until repair/hint/read-repair; design for it or use a different consistency/replication model.,LOCAL_QUORUM waits for all DCs.,Hinted handoff makes DCs interchangeable immediately.,B
"A repair that misses a recently deleted partition (gc grace elapsed, tombstone dropped, replica was down) produces what?",A harmless no-op,Data resurrection: the stale replica's live data is copied back to others,Automatic RF increase,LWT abort of the repair,B
"A staff review of a 'one partition per tenant, all rows clustered' multi-tenant design should flag what first?",CQL cannot filter clustering columns,"Tenant size skew becomes hot/wide partitions; noisy tenants dominate compaction, repair, and replica CPU with no token isolation",RF cannot be greater than 1 for multi-tenant data,QUORUM does not work with clustering columns,B
Compaction strategy: STCS on a time-series table that mostly appends and TTLs. Why might TWCS be the better fit?,STCS is illegal on time-series.,"Time-window compaction can drop whole SSTables when TTL expires instead of mixing old/new in size-tiered compaction, reducing tombstone pain.",TWCS makes all reads QUORUM.,TWCS stores data in B-trees.,B
Dropping gc_grace to 'clean tombstones faster' after a mass delete: what must already be true?,Nothing; it is always safe,Every replica has received the deletes and repair has covered the ranges; otherwise dropped tombstones invite resurrection,CL=ONE is in use,LWTs are disabled,B
"Hinted handoff during a rolling outage of two of three replicas at RF=3, CL=QUORUM: what happens to writes?",Writes succeed because hints count as quorum votes,"QUORUM writes fail; hints are not a substitute for live acknowledgements, so availability drops until a replica returns",CL is automatically lowered to ONE,The remaining replica becomes RF=1 silently,B
Hot-partition mitigation via bucketing (user_id + bucket) changes which costs?,It removes the need for RF,"Writes spread across tokens, but reads of 'all buckets' become scatter-gather and you reintroduce merge/limit logic in the app",Clustering order is lost forever,QUORUM is no longer defined,B
Incremental repair vs a naive full repair: what failure mode are you trying to avoid?,Token-aware routing,"Repeatedly streaming already-agreed ranges, overloading disks/network, and extending the window where unrepaired data can resurrect after tombstone GC",The need for partition keys,Use of clustering columns,B
LWT cost is not just extra round trips. What local storage-engine cost also shows up?,"Paxos state (promises/commits) is persisted per partition, adding writes, contention, and more compaction on that key",LWT bypasses memtables entirely,LWT stores a full cluster snapshot,LWT turns off bloom filters cluster-wide,A
W+R>RF is necessary but not sufficient for 'I always read my write' in Cassandra. Which extra caveat is staff-level?,There are no caveats if W+R>RF,"Clock/last-write-wins, partial replica failures, digest mismatch paths, and CL computed per-DC can still yield surprising recency without LWT/SERIAL",Partition keys are not hashed when W+R>RF,Tombstones disable W+R>RF,B
When would you accept CL=ONE writes in production despite stale-read risk?,Always; QUORUM is never worth it,"When the workload is write-availability-first, reads can tolerate staleness, and repair/hints/read-repair are operated as the reconciliation path",When you also need linearizable CAS,"When RF=1 already, so CL does not matter and you still claim multi-replica durability",B
Why can EACH_QUORUM writes be the right multi-DC choice even though they are slow?,They contact only one node,"They require a quorum in every DC, so a DC that was partitioned does not silently accept a CL that later cannot be read locally",They skip the commit log,They disable tombstones,B
Why is a monotonically growing clustering key that is also the only partition key a dual foot-gun?,It is the recommended time-series pattern,One ever-growing partition (hot + wide) lands on one token; time-series wants time in clustering and a bounded partition key (and often time buckets),Clustering keys cannot be timestamps,QUORUM forbids time-series,B
You must explain why Cassandra's last-write-wins on conflicting replicas is not a substitute for LWT.,LWW always waits for Paxos,LWW picks a timestamp winner after the fact; concurrent RMWs can lose updates. LWT prevents the lost update by agreeing before commit,LWW and LWT are identical on the same partition,Repair turns LWW into linearizability,B
You need a uniqueness constraint ('this email is registered') in Cassandra. Why is that a product smell at staff level?,Cassandra unique indexes are serializable by default.,Uniqueness is a consensus problem; LWT per email works at modest QPS and becomes a hotspot/latency tax. Often the source of truth belongs in a database that does this cheaply.,A secondary index on email is unique automatically.,Partitioning on email hashes uniqueness for free.,B
You need linearizable compare-and-set on a counter-like row. Why is 'read QUORUM then write QUORUM' the wrong tool?,QUORUM cannot read counters,Two clients can both read the same value and both write; you need LWT/Paxos (or an external consensus) to serialize the RMW,Repair already serializes all writes,Hinted handoff provides linearizability,B
A 'linked list of buffers' vs a small number of large slabs for a network server. Same abstract list of bytes. Why slabs?,"Fewer allocations, sequential DMA/cache, cheaper to coalesce; the pointer-rich list maximizes syscall and miss cost per byte",The kernel can only send linked lists,Slabs cannot represent a queue,BFS requires one malloc per byte,A
A rate limiter for a global API: token bucket in one Redis vs sliding log of timestamps per user. What is the staff trade-off?,They are identical at all scales.,Token bucket is O(1) memory/CPU and approximate; a precise sliding log is memory-heavy per key and harder to shard. Pick based on fairness vs cost.,Sliding log is O(1) and token bucket is O(n).,Only a bloom filter can rate-limit correctly.,B
Autocomplete at 50k QPS: trie in one JVM vs prefix query to a search engine. When is the trie the wrong 'clever' answer?,Tries are always smaller than inverted indexes.,"When the dictionary is huge, needs fuzzy/ranked results, or must be updated without STW rebuilds — operational cost dominates Big-O.",Search engines cannot do prefix match.,A trie cannot be sharded.,B
CHAMP / HAMT / B-tree vs open-addressing hash for a persistent (immutable) map in a language runtime. Why the tree-like hash trie?,"Structural sharing on update: you copy a path, not the whole table — a flat hash array maps poorly onto persistent workloads even if lookups are similar",Trees cannot share structure,Open addressing is required for immutability,Heaps persist better because extract-min copies nothing,A
Counting Bloom / cuckoo / quotient filters exist. You need deletes and a hard bound on false positives for a security denylist. Why a vanilla Bloom is the wrong contract?,"Standard Bloom cannot delete safely and never gives 0% false positives — a 'yes' could allow or deny the wrong principal; use an exact set or a structure with bounded, understood errors","Vanilla Bloom has false negatives, which are worse for denylists",Union-find can delete Bloom bits,LRU turns Bloom into an exact set,A
Dijkstra on a huge sparse graph: binary heap vs array vs Fibonacci-style vs just BFS. Workload split?,"If all weights are equal, BFS (or 0-1 deque) — a heap is wasted. If weights vary, you need a PQ; which PQ depends on decrease-key volume and graph size, not the brand name",Always Fibonacci heap because the bound is famous,DFS with a Bloom filter replaces Dijkstra,Union-find extracts the next closest node,A
"Directed graph, detect if adding an edge would create a cycle, online, many queries. DFS every time is too slow. Better?","If the graph is a DAG of components you merge, union-find works for undirected; for directed you need incremental topo / reachability (or full topo + DFS on the relevant region) — union-find alone is the wrong connectivity model",Union-find is identical for directed cycles,A Bloom filter of edges proves acyclicity,BFS from a random node never sees directed cycles,A
False-positive rate of a Bloom filter after you insert more items than it was sized for. What actually happens?,"Bits saturate, 'yes' becomes almost always — the filter silently degrades toward useless; there is no crash, which is why ops miss it",It starts emitting false negatives to compensate,Union-find rebuilds the bitset,LRU evicts bits in recency order,A
Hot-key workload: 1 key is 40% of QPS. Hash partition across 50 caches. What structure-level fact did you ignore?,"Hashing spreads keys, not load — one key still lives on one shard; you need replication, local LRU on every node, or a different split (by session, by request) for that key",A balanced tree on the same key automatically shards it,A heap of caches will split the key each extract-min,Consistent hashing splits a single key across the ring by definition,A
LRU under scan-heavy traffic (a job reads every key once). What happens to the cache of hot keys?,"The scan fills the recency list and evicts the working set — classic LRU failure; use scan-resistant policy (2Q, ARC, LRU-K) or pin/hot-bit",LRU is scan-proof because hashes skip one-time keys,A heap ordered by key length stops scans,BFS insertion order is immune,A
Rendezvous hashing vs consistent ring: you want minimal disruption and easy weighted nodes without virtual node explosion. Which idea?,"Highest random weight / Rendezvous: score(key, node), pick max — membership change only moves keys that preferred the lost node; weights fold into the score",Always use hash % N with sticky sessions,Put nodes in a heap and extract-min per key,DFS the node list until a Bloom filter says yes,A
"Union-find with path compression, no union-by-rank, adversarial unions always attaching large to small via the wrong root. Practical issue?","Trees get tall; even with later compression, a bad sequence plus no rank/size can make individual finds scan long chains before they flatten",Path compression without rank is undefined,The structure becomes a heap and extract-min breaks,Bloom filter bits collide with the parent array,A
"You external-sort huge files. Runs are written, then merged. Why does 'stable' still matter on disk?","Equal keys from earlier files/runs must keep their input order (e.g. original row id, replica timestamp) or the merge invents a new ordering that downstream consumers did not ask for","Stability only exists in RAM arrays, not files",Heaps used in k-way merge are stable by nature for all equal keys,BFS merge of runs preserves order automatically,A
"You need an LRU across a fleet. Local LRU per node + consistent hashing. A key's node jumps; the new node has a cold LRU. Besides miss storm, what invariant broke?","Recency is per process — the global working set is not on the ring. Hashing moves identity, not the linked-list order; replicas or session stickiness are how you keep recency",Consistent hashing copies the doubly linked list to the successor automatically,A heap of timestamps is globally shared via hashing,BFS of the ring rebuilds LRU,A
"You need connectivity across a huge undirected graph that mutates. Why might union-find (DSU) be the right first tool, and when does it stop?",DSU supports deletions as cheaply as unions.,"Near-constant unions/finds for 'are these connected' if you mostly add edges; deletions, path queries, or need for actual paths need a different structure.",DSU is only for trees of height 2.,BFS from every node is always faster.,B
You replace an array-backed deque with a linked list to get 'true O(1) insert in the middle' for a 1e7-element structure you mostly iterate. Net effect on a modern CPU?,"Middle insert may allocate and patch two pointers, but iteration becomes cache-hostile; if iterates dominate, you slowed the real workload",Linked lists always dominate arrays once n > 10^4,The allocator colocates list nodes so they prefetch like arrays,TLB prefers pointer graphs to contiguous pages,A
"You sort events by (user_id, event_time) for per-user sessionization. One-pass composite compare vs sort-by-time then stable sort-by-user. When is the two-pass actually what you want?","When event_time order among a user must be the original sort's order and that first sort was already done (or is expensive to redo as a composite) — stability composes existing order; a new unstable composite can still break equal (user, time) ties you cared about",Two-pass is always slower and never justified,Heaps can only do one key,BFS requires two-pass sorts,A
A 350KB item is updated 20 times a second to flip one flag. Why is this an incident waiting to happen?,Flags cannot live in DynamoDB,"Each update rewrites the whole large item, multiplying write cost and making that key hotter than the business change requires",Updates are eventually consistent only,On-demand forbids updates,B
A GSI is KEYS_ONLY. A query against it still needs five large attributes. Tradeoff?,The GSI returns those attributes for free,You do a cheap index Query then GetItem the base rows; you avoided write amplification at the cost of extra reads,KEYS_ONLY implies strong consistency,You must Scan the base table,B
A cache in front of DynamoDB for a hot product key helps reads. What must you still design for?,The cache makes writes strongly consistent across regions,"Cache misses, TTL expiry, and stampede can slam the same hot key; writes still hit DynamoDB",Partition keys are no longer needed,GSIs become strongly consistent,B
A leaderboard GSI partition key is the constant LEADERBOARD. Why will this fail at scale?,Constants are not valid attribute names,Every write lands on one index partition; you modeled a global hot key,GSIs cannot sort,Leaderboards require strongly consistent scans,B
A product wants relational joins across three DynamoDB tables on the request path. What should you push back with?,Use Scan + in-memory join; DynamoDB is fine.,"Access-pattern-first: denormalize/duplicate, or pick a database that joins. Request-path joins are N queries, inconsistent snapshots, and hot GSIs waiting to happen.",Transactions across three tables are free if items are small.,PartiQL joins are as cheap as Dynamo Query.,B
"Adaptive capacity moved extra throughput toward a hot partition, but p99 still collapses on one productId. What is left?",Buy more table-level RCUs only,"Change the key (shard, invert access pattern, or cache) because one key is a physical bottleneck",Enable strongly consistent GSIs,Switch every read to Scan,B
Exporting to S3 / using an incremental export for analytics is preferred over a live Scan because:,S3 is a database,You isolate heavy read traffic from the online table's partitions and capacity,Exports are strongly consistent GSIs,Scans cannot paginate,B
Global tables give you multi-region copies. What do they not give you?,Lower read latency near a replica,A single globally strongly consistent item view for every read,Regional isolation if you design for it,The same partition-key model in each region,B
On-demand still throttles a partition. Why are people surprised?,On-demand advertises infinite per-key QPS,"On-demand removes table-level provisioning, not the physics of a single hot key or a sudden jump beyond what that partition can absorb",On-demand disables GSIs,On-demand is only for Scans,B
Single-table design is not 'put everything in one table'. The actual rule is:,Minimize the number of AWS resources on the bill,"Shape items and keys so each access pattern is a Query on a partition, not a Scan across entity types",Never use GSIs,Store blobs inline to avoid joins,B
Streams + Lambda to maintain a projection. The Lambda is not idempotent. What operational failure is guaranteed eventually?,"Streams are exactly-once, so the projection stays correct.",At-least-once shard records will double-apply; the projection must be idempotent or versioned.,Lambda retries are disabled for DynamoDB streams.,Projections cannot diverge because they share storage with the table.,B
Strongly consistent reads cost more and still do not make a GSI or a global-table replica 'the truth everywhere'. The honest contract is:,"Strong reads are a quorum read of that table's item in that region, not a global lock",Strong reads lock all GSIs,Strong reads are free on on-demand,Strong reads disable throttling,A
Time-series data with PK = today's date concentrates today's writes. A better key shape is:,PK = a single string 'timeseries',"Shard by a high-cardinality id (device, customer, or time bucket + shard) so ingests spread, and query by the access pattern you actually have",PK = status ACTIVE,"No partition key, sort key only",B
Why model 1:N as partition key = parent and sort key = child rather than embedding an unbounded list on the parent?,Lists are not a DynamoDB type,"The parent item would grow toward 400KB, every child change would rewrite the parent, and you could not Query a slice of children",Sort keys forbid queries,Children cannot share a table,B
You are asked to 'just add an index' for an unplanned access pattern. What do you check first?,"Whether the new key has cardinality and even traffic, and whether the extra write fan-out is acceptable",Whether Scan would be faster,Whether items exceed 400KB after indexing,Whether the index can be strongly consistent,A
"You are designing for a 10× Prime-Day-like spike on a few product keys. Adaptive capacity and on-demand help, but what still requires modeling work?",Nothing; on-demand removes hot keys.,"A single partition key still has a ceiling; cache, shard the key, or isolate those items so one product cannot concentrate all writes.",Global tables spread one key's writes evenly across partitions.,DAX makes writes infinitely scalable.,B
You need atomic debit of account A and credit of account B. Why is 'two PutItems' insufficient?,PutItem cannot write numbers,Each item write is atomic alone; a crash between them can strand money unless you use a transaction or a modeled workflow,Accounts must share a partition key always,Strongly consistent reads provide atomic multi-item writes,B
A company wants to fine-tune on PII support tickets to 'make the model remember customers'. What should you block?,Fine-tuning cannot memorize.,Weights can memorize; you turned the model into a PII store that is hard to delete. Prefer RAG with access control over the tickets.,PII in prompts is fine if temperature is 0.,Fine-tunes automatically forget after 30 days.,B
A defense that only strips the phrase “ignore previous instructions” is weak because:,"Injection can be encoded, translated, role-played, or aimed at tools without that phrase",That phrase is the only known attack,Models cannot read other languages,Tools never see retrieved text,A
A grounded-generation eval should jointly report:,"Answer correctness, attribution/entailment to retrieved spans, and retrieval recall—not only chat fluency",Perplexity on the system prompt,Temperature as a quality score,Parameter count of the judge,A
A prompt-only fix is insufficient when:,"The model must acquire a distributional skill (accent of a dialect, layout prior) that examples in context cannot stably teach at your latency budget",You only needed to rename a field in the instructions,A single new fact must be true tomorrow,You wanted to add one URL to retrieve,A
A/B eval where the judge sees the system name and prefers the verbose variant is contaminated by:,"Length and identity bias, not the hidden task metric",Perfect calibration,Token-free scoring,Retrieval recall,A
